name_1,date_1,context,correct_date,correct_date_str,correct_answer
Hunter,2019-06-09,Hunter cleaned the attic on the 9th of June. The first person that cleaned the attic was,2019-06-09,9th of June,Hunter
Kevin,2019-07-06,Kevin bought a new phone on the 6th of July. The first person that bought a new phone was,2019-07-06,6th of July,Kevin
Blake,2019-08-28,Blake washed the car on the 28th of August. The first person that washed the car was,2019-08-28,28th of August,Blake
Fred,2019-07-27,Fred took a plane on the 27th of July. The first person that took a plane was,2019-07-27,27th of July,Fred
Kyle,2019-08-22,Kyle went hiking on the 22nd of August. The first person that went hiking was,2019-08-22,22nd of August,Kyle
George,2019-08-26,George got surgery on the 26th of August. The first person that got surgery was,2019-08-26,26th of August,George
Andrew,2019-07-27,Andrew moved to a new city on the 27th of July. The first person that moved to a new city was,2019-07-27,27th of July,Andrew
Robert,2019-08-24,Robert watched TV on the 24th of August. The first person that watched TV was,2019-08-24,24th of August,Robert
Rose,2019-08-07,Rose built a desktop computer on the 7th of August. The first person that built a desktop computer was,2019-08-07,7th of August,Rose
Fred,2019-08-24,Fred mowed the lawn on the 24th of August. The first person that mowed the lawn was,2019-08-24,24th of August,Fred
Leon,2019-08-27,Leon went to a concert on the 27th of August. The first person that went to a concert was,2019-08-27,27th of August,Leon
Connor,2019-08-14,Connor washed the car on the 14th of August. The first person that washed the car was,2019-08-14,14th of August,Connor
Kyle,2019-08-22,Kyle bought a new phone on the 22nd of August. The first person that bought a new phone was,2019-08-22,22nd of August,Kyle
Hope,2019-08-14,Hope arrived in the US on the 14th of August. The first person that arrived in the US was,2019-08-14,14th of August,Hope
Martin,2019-08-04,Martin had a picnic on the 4th of August. The first person that had a picnic was,2019-08-04,4th of August,Martin
Kyle,2019-08-17,Kyle painted a mural on the 17th of August. The first person that painted a mural was,2019-08-17,17th of August,Kyle
Rachel,2019-08-07,Rachel bought a new car on the 7th of August. The first person that bought a new car was,2019-08-07,7th of August,Rachel
Henry,2019-07-29,Henry cleaned the shed on the 29th of July. The first person that cleaned the shed was,2019-07-29,29th of July,Henry
Joy,2019-08-13,Joy sent a package on the 13th of August. The first person that sent a package was,2019-08-13,13th of August,Joy
April,2019-07-08,April took a plane on the 8th of July. The first person that took a plane was,2019-07-08,8th of July,April
Ian,2019-08-08,Ian painted a portrait on the 8th of August. The first person that painted a portrait was,2019-08-08,8th of August,Ian
Walker,2019-08-30,Walker went fishing on the 30th of August. The first person that went fishing was,2019-08-30,30th of August,Walker
Hunter,2019-08-19,Hunter got surgery on the 19th of August. The first person that got surgery was,2019-08-19,19th of August,Hunter
Hunter,2019-08-28,Hunter attended a funeral on the 28th of August. The first person that attended a funeral was,2019-08-28,28th of August,Hunter
Matt,2019-08-16,Matt wrote a letter on the 16th of August. The first person that wrote a letter was,2019-08-16,16th of August,Matt
Ryan,2019-08-13,Ryan wrote a letter on the 13th of August. The first person that wrote a letter was,2019-08-13,13th of August,Ryan
Max,2019-07-11,Max took a ferry on the 11th of July. The first person that took a ferry was,2019-07-11,11th of July,Max
Hope,2019-07-06,Hope baked a cake on the 6th of July. The first person that baked a cake was,2019-07-06,6th of July,Hope
Mark,2019-07-14,Mark received a promotion on the 14th of July. The first person that received a promotion was,2019-07-14,14th of July,Mark
Matt,2019-08-16,Matt arrived in the UK on the 16th of August. The first person that arrived in the UK was,2019-08-16,16th of August,Matt
Kyle,2019-08-16,Kyle took a plane on the 16th of August. The first person that took a plane was,2019-08-16,16th of August,Kyle
Walker,2019-07-18,Walker went to a concert on the 18th of July. The first person that went to a concert was,2019-07-18,18th of July,Walker
Ian,2019-08-01,Ian cleaned the attic on the 1st of August. The first person that cleaned the attic was,2019-08-01,1st of August,Ian
Kyle,2019-08-22,Kyle washed the floors on the 22nd of August. The first person that washed the floors was,2019-08-22,22nd of August,Kyle
Dean,2019-07-09,Dean washed the car on the 9th of July. The first person that washed the car was,2019-07-09,9th of July,Dean
Dallas,2019-07-01,Dallas arrived in Italy on the 1st of July. The first person that arrived in Italy was,2019-07-01,1st of July,Dallas
Dean,2019-07-09,Dean repotted the plants on the 9th of July. The first person that repotted the plants was,2019-07-09,9th of July,Dean
Rachel,2019-08-01,Rachel went fishing on the 1st of August. The first person that went fishing was,2019-08-01,1st of August,Rachel
Rachel,2019-08-07,Rachel went to a Chinese restaurant on the 7th of August. The first person that went to a Chinese restaurant was,2019-08-07,7th of August,Rachel
Fred,2019-08-24,Fred went to a Mexican restaurant on the 24th of August. The first person that went to a Mexican restaurant was,2019-08-24,24th of August,Fred
Maria,2019-07-21,Maria alphabetized the bookshelf on the 21st of July. The first person that alphabetized the bookshelf was,2019-07-21,21st of July,Maria
Hope,2019-07-09,Hope bought a new car on the 9th of July. The first person that bought a new car was,2019-07-09,9th of July,Hope
Hunter,2019-08-28,Hunter repaired the bike on the 28th of August. The first person that repaired the bike was,2019-08-28,28th of August,Hunter
Neil,2019-08-02,Neil refinanced the mortgage on the 2nd of August. The first person that refinanced the mortgage was,2019-08-02,2nd of August,Neil
Connor,2019-08-14,Connor got a raise on the 14th of August. The first person that got a raise was,2019-08-14,14th of August,Connor
Fred,2019-07-27,Fred washed the car on the 27th of July. The first person that washed the car was,2019-07-27,27th of July,Fred
Alice,2019-08-11,Alice won a prize on the 11th of August. The first person that won a prize was,2019-08-11,11th of August,Alice
Mark,2019-07-24,Mark called a friend on the 24th of July. The first person that called a friend was,2019-07-24,24th of July,Mark
Max,2019-07-11,Max harvested a garden on the 11th of July. The first person that harvested a garden was,2019-07-11,11th of July,Max
Michael,2019-08-17,Michael arrived in Spain on the 17th of August. The first person that arrived in Spain was,2019-08-17,17th of August,Michael
Mark,2019-07-24,Mark visited their family on the 24th of July. The first person that visited their family was,2019-07-24,24th of July,Mark
Jerry,2019-08-09,Jerry went to a Mexican restaurant on the 9th of August. The first person that went to a Mexican restaurant was,2019-08-09,9th of August,Jerry
Dallas,2019-08-21,Dallas watered the plants on the 21st of August. The first person that watered the plants was,2019-08-21,21st of August,Dallas
Blake,2019-08-23,Blake built a desktop computer on the 23rd of August. The first person that built a desktop computer was,2019-08-23,23rd of August,Blake
Richard,2019-08-28,Richard cleaned the basement on the 28th of August. The first person that cleaned the basement was,2019-08-28,28th of August,Richard
Andrew,2019-08-06,Andrew painted a mural on the 6th of August. The first person that painted a mural was,2019-08-06,6th of August,Andrew
Max,2019-07-11,Max repotted the plants on the 11th of July. The first person that repotted the plants was,2019-07-11,11th of July,Max
Aaron,2019-08-01,Aaron repaired the bike on the 1st of August. The first person that repaired the bike was,2019-08-01,1st of August,Aaron
John,2019-07-09,John got a manicure on the 9th of July. The first person that got a manicure was,2019-07-09,9th of July,John
Grant,2019-07-03,Grant ironed the clothes on the 3rd of July. The first person that ironed the clothes was,2019-07-03,3rd of July,Grant
April,2019-08-16,April moved to a new city on the 16th of August. The first person that moved to a new city was,2019-08-16,16th of August,April
Laura,2019-07-09,Laura watered the plants on the 9th of July. The first person that watered the plants was,2019-07-09,9th of July,Laura
Walker,2019-07-18,Walker went to a Thai restaurant on the 18th of July. The first person that went to a Thai restaurant was,2019-07-18,18th of July,Walker
Mark,2019-07-24,Mark left for vacation on the 24th of July. The first person that left for vacation was,2019-07-24,24th of July,Mark
Walker,2019-07-18,Walker planted a tree on the 18th of July. The first person that planted a tree was,2019-07-18,18th of July,Walker
Richard,2019-07-19,Richard went to a Thai restaurant on the 19th of July. The first person that went to a Thai restaurant was,2019-07-19,19th of July,Richard
Ryan,2019-07-03,Ryan returned from vacation on the 3rd of July. The first person that returned from vacation was,2019-07-03,3rd of July,Ryan
Jerry,2019-08-09,Jerry got a birthday gift on the 9th of August. The first person that got a birthday gift was,2019-08-09,9th of August,Jerry
Fred,2019-08-24,Fred arrived in Germany on the 24th of August. The first person that arrived in Germany was,2019-08-24,24th of August,Fred
Michael,2019-08-17,Michael arrived in the US on the 17th of August. The first person that arrived in the US was,2019-08-17,17th of August,Michael
Hope,2019-08-14,Hope left for vacation on the 14th of August. The first person that left for vacation was,2019-08-14,14th of August,Hope
Bob,2019-08-11,Bob won a contest on the 11th of August. The first person that won a contest was,2019-08-11,11th of August,Bob
Ian,2019-08-01,Ian took a bus on the 1st of August. The first person that took a bus was,2019-08-01,1st of August,Ian
Scott,2019-07-21,Scott sent a postcard on the 21st of July. The first person that sent a postcard was,2019-07-21,21st of July,Scott
Hunter,2019-08-19,Hunter went to a Mexican restaurant on the 19th of August. The first person that went to a Mexican restaurant was,2019-08-19,19th of August,Hunter
Alice,2019-08-11,Alice renovated the kitchen on the 11th of August. The first person that renovated the kitchen was,2019-08-11,11th of August,Alice
Kyle,2019-08-22,Kyle went to a festival on the 22nd of August. The first person that went to a festival was,2019-08-22,22nd of August,Kyle
Robert,2019-07-28,Robert donated blood on the 28th of July. The first person that donated blood was,2019-07-28,28th of July,Robert
Blake,2019-07-09,Blake harvested a garden on the 9th of July. The first person that harvested a garden was,2019-07-09,9th of July,Blake
Charlie,2019-08-16,Charlie got a massage on the 16th of August. The first person that got a massage was,2019-08-16,16th of August,Charlie
Richard,2019-07-29,Richard went to a Thai restaurant on the 29th of July. The first person that went to a Thai restaurant was,2019-07-29,29th of July,Richard
Matt,2019-07-29,Matt watched a documentary on the 29th of July. The first person that watched a documentary was,2019-07-29,29th of July,Matt
Robert,2019-08-24,Robert renovated the bathroom on the 24th of August. The first person that renovated the bathroom was,2019-08-24,24th of August,Robert
Bob,2019-07-03,Bob reorganized the closet on the 3rd of July. The first person that reorganized the closet was,2019-07-03,3rd of July,Bob
Matt,2019-10-15,Matt purchased a new laptop on the 15th of October. The first person that purchased a new laptop was,2019-10-15,15th of October,Matt
Luke,2019-09-13,Luke arrived in the UK on the 13th of September. The first person that arrived in the UK was,2019-09-13,13th of September,Luke
Leon,2019-09-26,Leon went to the cinema on the 26th of September. The first person that went to the cinema was,2019-09-26,26th of September,Leon
Kevin,2019-10-20,Kevin received a promotion on the 20th of October. The first person that received a promotion was,2019-10-20,20th of October,Kevin
Leon,2019-10-05,Leon got a massage on the 5th of October. The first person that got a massage was,2019-10-05,5th of October,Leon
Steve,2019-10-09,Steve compiled the spreadsheet on the 9th of October. The first person that compiled the spreadsheet was,2019-10-09,9th of October,Steve
Scott,2019-10-08,Scott washed the floors on the 8th of October. The first person that washed the floors was,2019-10-08,8th of October,Scott
Dallas,2019-09-18,Dallas arrived in Italy on the 18th of September. The first person that arrived in Italy was,2019-09-18,18th of September,Dallas
Mark,2019-10-21,Mark took a train on the 21st of October. The first person that took a train was,2019-10-21,21st of October,Mark
William,2019-10-19,William ironed the clothes on the 19th of October. The first person that ironed the clothes was,2019-10-19,19th of October,William
Steve,2019-09-29,Steve watched TV on the 29th of September. The first person that watched TV was,2019-09-29,29th of September,Steve
Neil,2019-10-10,Neil got a haircut on the 10th of October. The first person that got a haircut was,2019-10-10,10th of October,Neil
Jason,2019-10-10,Jason got a birthday gift on the 10th of October. The first person that got a birthday gift was,2019-10-10,10th of October,Jason
Hope,2019-09-21,Hope wrote a letter on the 21st of September. The first person that wrote a letter was,2019-09-21,21st of September,Hope
Walker,2019-10-28,Walker went to a Thai restaurant on the 28th of October. The first person that went to a Thai restaurant was,2019-10-28,28th of October,Walker
John,2019-10-24,John painted a mural on the 24th of October. The first person that painted a mural was,2019-10-24,24th of October,John
Ian,2019-09-30,Ian mowed the lawn on the 30th of September. The first person that mowed the lawn was,2019-09-30,30th of September,Ian
Neil,2019-10-07,Neil built a desktop computer on the 7th of October. The first person that built a desktop computer was,2019-10-07,7th of October,Neil
Aaron,2019-10-17,Aaron wrote a letter on the 17th of October. The first person that wrote a letter was,2019-10-17,17th of October,Aaron
Connor,2019-10-17,Connor watered the plants on the 17th of October. The first person that watered the plants was,2019-10-17,17th of October,Connor
Ryan,2019-10-13,Ryan had a picnic on the 13th of October. The first person that had a picnic was,2019-10-13,13th of October,Ryan
Joy,2019-09-30,Joy watched TV on the 30th of September. The first person that watched TV was,2019-09-30,30th of September,Joy
John,2019-10-24,John reorganized the closet on the 24th of October. The first person that reorganized the closet was,2019-10-24,24th of October,John
Alex,2019-10-09,Alex baked a cake on the 9th of October. The first person that baked a cake was,2019-10-09,9th of October,Alex
Grant,2019-10-22,Grant reorganized the closet on the 22nd of October. The first person that reorganized the closet was,2019-10-22,22nd of October,Grant
Charlie,2019-09-03,Charlie sent a package on the 3rd of September. The first person that sent a package was,2019-09-03,3rd of September,Charlie
Neil,2019-10-17,Neil won the lottery on the 17th of October. The first person that won the lottery was,2019-10-17,17th of October,Neil
Emily,2019-10-13,Emily took a bus on the 13th of October. The first person that took a bus was,2019-10-13,13th of October,Emily
Fred,2019-10-22,Fred cleaned the attic on the 22nd of October. The first person that cleaned the attic was,2019-10-22,22nd of October,Fred
Dallas,2019-09-18,Dallas attended a wedding on the 18th of September. The first person that attended a wedding was,2019-09-18,18th of September,Dallas
Steve,2019-09-08,Steve reorganized the closet on the 8th of September. The first person that reorganized the closet was,2019-09-08,8th of September,Steve
Jason,2019-10-21,Jason planted a tree on the 21st of October. The first person that planted a tree was,2019-10-21,21st of October,Jason
Mark,2019-10-28,Mark renovated the bathroom on the 28th of October. The first person that renovated the bathroom was,2019-10-28,28th of October,Mark
Matt,2019-10-05,Matt cleaned the garage on the 5th of October. The first person that cleaned the garage was,2019-10-05,5th of October,Matt
Kyle,2019-09-04,Kyle visited a new city on the 4th of September. The first person that visited a new city was,2019-09-04,4th of September,Kyle
Matt,2019-10-05,Matt moved to a new city on the 5th of October. The first person that moved to a new city was,2019-10-05,5th of October,Matt
Robert,2019-09-02,Robert played chess on the 2nd of September. The first person that played chess was,2019-09-02,2nd of September,Robert
Steve,2019-09-24,Steve cleaned the shed on the 24th of September. The first person that cleaned the shed was,2019-09-24,24th of September,Steve
Marco,2019-10-19,Marco visited a new city on the 19th of October. The first person that visited a new city was,2019-10-19,19th of October,Marco
Hope,2019-10-28,Hope visited a new country on the 28th of October. The first person that visited a new country was,2019-10-28,28th of October,Hope
Luke,2019-09-05,Luke took a walk in the park on the 5th of September. The first person that took a walk in the park was,2019-09-05,5th of September,Luke
Connor,2019-09-22,Connor took a bus on the 22nd of September. The first person that took a bus was,2019-09-22,22nd of September,Connor
Aaron,2019-10-16,Aaron won a prize on the 16th of October. The first person that won a prize was,2019-10-16,16th of October,Aaron
Hunter,2019-09-13,Hunter watched TV on the 13th of September. The first person that watched TV was,2019-09-13,13th of September,Hunter
Kyle,2019-10-04,Kyle took a bus on the 4th of October. The first person that took a bus was,2019-10-04,4th of October,Kyle
Leon,2019-09-25,Leon received a letter on the 25th of September. The first person that received a letter was,2019-09-25,25th of September,Leon
Hope,2019-10-11,Hope reorganized the closet on the 11th of October. The first person that reorganized the closet was,2019-10-11,11th of October,Hope
William,2019-09-17,William arrived in the US on the 17th of September. The first person that arrived in the US was,2019-09-17,17th of September,William
Maria,2019-09-05,Maria ran a marathon on the 5th of September. The first person that ran a marathon was,2019-09-05,5th of September,Maria
Connor,2019-09-24,Connor sold their car on the 24th of September. The first person that sold their car was,2019-09-24,24th of September,Connor
Andrew,2019-10-25,Andrew arrived in France on the 25th of October. The first person that arrived in France was,2019-10-25,25th of October,Andrew
Steve,2019-09-08,Steve donated toys on the 8th of September. The first person that donated toys was,2019-09-08,8th of September,Steve
Robert,2019-10-27,Robert reorganized the closet on the 27th of October. The first person that reorganized the closet was,2019-10-27,27th of October,Robert
Steve,2019-09-12,Steve cooked lasagna on the 12th of September. The first person that cooked lasagna was,2019-09-12,12th of September,Steve
Richard,2019-10-28,Richard renovated the bathroom on the 28th of October. The first person that renovated the bathroom was,2019-10-28,28th of October,Richard
Jerry,2019-10-17,Jerry took a plane on the 17th of October. The first person that took a plane was,2019-10-17,17th of October,Jerry
Blake,2019-10-11,Blake won the lottery on the 11th of October. The first person that won the lottery was,2019-10-11,11th of October,Blake
Jason,2019-10-10,Jason went to the gym on the 10th of October. The first person that went to the gym was,2019-10-10,10th of October,Jason
Leon,2019-09-26,Leon sent a package on the 26th of September. The first person that sent a package was,2019-09-26,26th of September,Leon
Martin,2019-10-04,Martin went to the museum on the 4th of October. The first person that went to the museum was,2019-10-04,4th of October,Martin
Richard,2019-10-12,Richard moved to a new city on the 12th of October. The first person that moved to a new city was,2019-10-12,12th of October,Richard
Steve,2019-09-12,Steve left for vacation on the 12th of September. The first person that left for vacation was,2019-09-12,12th of September,Steve
Connor,2019-09-01,Connor got a raise on the 1st of September. The first person that got a raise was,2019-09-01,1st of September,Connor
Bob,2019-10-10,Bob went to a Thai restaurant on the 10th of October. The first person that went to a Thai restaurant was,2019-10-10,10th of October,Bob
Robert,2019-09-02,Robert won the lottery on the 2nd of September. The first person that won the lottery was,2019-09-02,2nd of September,Robert
Kyle,2019-10-19,Kyle got a manicure on the 19th of October. The first person that got a manicure was,2019-10-19,19th of October,Kyle
Robert,2019-10-17,Robert donated blood on the 17th of October. The first person that donated blood was,2019-10-17,17th of October,Robert
Grant,2019-09-29,Grant went to the beach on the 29th of September. The first person that went to the beach was,2019-09-29,29th of September,Grant
Kyle,2019-10-06,Kyle attended a funeral on the 6th of October. The first person that attended a funeral was,2019-10-06,6th of October,Kyle
Aaron,2019-10-17,Aaron cleaned the basement on the 17th of October. The first person that cleaned the basement was,2019-10-17,17th of October,Aaron
Connor,2019-09-01,Connor washed the dog on the 1st of September. The first person that washed the dog was,2019-09-01,1st of September,Connor
Connor,2019-10-22,Connor watched a documentary on the 22nd of October. The first person that watched a documentary was,2019-10-22,22nd of October,Connor
Aaron,2019-10-17,Aaron went to the beach on the 17th of October. The first person that went to the beach was,2019-10-17,17th of October,Aaron
Connor,2019-10-22,Connor reorganized the closet on the 22nd of October. The first person that reorganized the closet was,2019-10-22,22nd of October,Connor
Martin,2019-10-04,Martin arrived in Spain on the 4th of October. The first person that arrived in Spain was,2019-10-04,4th of October,Martin
Josh,2019-10-31,Josh left for vacation on the 31st of October. The first person that left for vacation was,2019-10-31,31st of October,Josh
Richard,2019-10-28,Richard had a barbecue on the 28th of October. The first person that had a barbecue was,2019-10-28,28th of October,Richard
Aaron,2019-09-02,Aaron attended a graduation on the 2nd of September. The first person that attended a graduation was,2019-09-02,2nd of September,Aaron
Tyler,2019-09-12,Tyler played chess on the 12th of September. The first person that played chess was,2019-09-12,12th of September,Tyler
Martin,2019-10-04,Martin returned from vacation on the 4th of October. The first person that returned from vacation was,2019-10-04,4th of October,Martin
William,2019-10-19,William purchased a new laptop on the 19th of October. The first person that purchased a new laptop was,2019-10-19,19th of October,William
Walker,2019-09-19,Walker went hiking on the 19th of September. The first person that went hiking was,2019-09-19,19th of September,Walker
Michael,2019-09-26,Michael called a friend on the 26th of September. The first person that called a friend was,2019-09-26,26th of September,Michael
Mark,2019-12-06,Mark wrote a letter on the 6th of December. The first person that wrote a letter was,2019-12-06,6th of December,Mark
Joy,2019-11-18,Joy sent a postcard on the 18th of November. The first person that sent a postcard was,2019-11-18,18th of November,Joy
Martin,2019-11-08,Martin purchased a new laptop on the 8th of November. The first person that purchased a new laptop was,2019-11-08,8th of November,Martin
Max,2019-11-16,Max called a friend on the 16th of November. The first person that called a friend was,2019-11-16,16th of November,Max
Hope,2019-11-21,Hope repotted the plants on the 21st of November. The first person that repotted the plants was,2019-11-21,21st of November,Hope
Ryan,2019-12-20,Ryan alphabetized the bookshelf on the 20th of December. The first person that alphabetized the bookshelf was,2019-12-20,20th of December,Ryan
Tyler,2019-11-10,Tyler arrived in Canada on the 10th of November. The first person that arrived in Canada was,2019-11-10,10th of November,Tyler
Jerry,2019-12-17,Jerry went to a French restaurant on the 17th of December. The first person that went to a French restaurant was,2019-12-17,17th of December,Jerry
Jack,2019-12-27,Jack arrived in the UK on the 27th of December. The first person that arrived in the UK was,2019-12-27,27th of December,Jack
April,2019-11-21,April moved to a new city on the 21st of November. The first person that moved to a new city was,2019-11-21,21st of November,April
Martin,2019-11-11,Martin took a boat on the 11th of November. The first person that took a boat was,2019-11-11,11th of November,Martin
Charlie,2019-11-08,Charlie got a manicure on the 8th of November. The first person that got a manicure was,2019-11-08,8th of November,Charlie
Hope,2019-12-13,Hope sent a postcard on the 13th of December. The first person that sent a postcard was,2019-12-13,13th of December,Hope
Leon,2019-11-05,Leon arrived in Canada on the 5th of November. The first person that arrived in Canada was,2019-11-05,5th of November,Leon
Jack,2019-12-02,Jack built a desktop computer on the 2nd of December. The first person that built a desktop computer was,2019-12-02,2nd of December,Jack
Frank,2019-12-24,Frank mowed the lawn on the 24th of December. The first person that mowed the lawn was,2019-12-24,24th of December,Frank
Hunter,2019-12-28,Hunter arrived in the UK on the 28th of December. The first person that arrived in the UK was,2019-12-28,28th of December,Hunter
Maria,2019-12-25,Maria arrived in Germany on the 25th of December. The first person that arrived in Germany was,2019-12-25,25th of December,Maria
Emily,2019-11-14,Emily arrived in Canada on the 14th of November. The first person that arrived in Canada was,2019-11-14,14th of November,Emily
April,2019-12-18,April harvested a garden on the 18th of December. The first person that harvested a garden was,2019-12-18,18th of December,April
Mark,2019-12-07,Mark received a promotion on the 7th of December. The first person that received a promotion was,2019-12-07,7th of December,Mark
Kevin,2019-11-06,Kevin received a letter on the 6th of November. The first person that received a letter was,2019-11-06,6th of November,Kevin
Emily,2019-11-26,Emily returned from vacation on the 26th of November. The first person that returned from vacation was,2019-11-26,26th of November,Emily
Martin,2019-11-11,Martin went camping on the 11th of November. The first person that went camping was,2019-11-11,11th of November,Martin
Kevin,2019-11-06,Kevin renovated the bathroom on the 6th of November. The first person that renovated the bathroom was,2019-11-06,6th of November,Kevin
Tyler,2019-11-08,Tyler wrote a letter on the 8th of November. The first person that wrote a letter was,2019-11-08,8th of November,Tyler
Martin,2019-11-19,Martin arrived in the UK on the 19th of November. The first person that arrived in the UK was,2019-11-19,19th of November,Martin
Neil,2019-11-15,Neil cleaned the attic on the 15th of November. The first person that cleaned the attic was,2019-11-15,15th of November,Neil
Rachel,2019-12-06,Rachel went to a festival on the 6th of December. The first person that went to a festival was,2019-12-06,6th of December,Rachel
Alice,2019-12-02,Alice arrived in Canada on the 2nd of December. The first person that arrived in Canada was,2019-12-02,2nd of December,Alice
William,2019-11-11,William arrived in Italy on the 11th of November. The first person that arrived in Italy was,2019-11-11,11th of November,William
Michael,2019-12-08,Michael cleaned the garage on the 8th of December. The first person that cleaned the garage was,2019-12-08,8th of December,Michael
Bob,2019-12-07,Bob took a train on the 7th of December. The first person that took a train was,2019-12-07,7th of December,Bob
Laura,2019-12-18,Laura harvested a garden on the 18th of December. The first person that harvested a garden was,2019-12-18,18th of December,Laura
Steve,2019-12-17,Steve went to the beach on the 17th of December. The first person that went to the beach was,2019-12-17,17th of December,Steve
Ryan,2019-11-27,Ryan moved to a new city on the 27th of November. The first person that moved to a new city was,2019-11-27,27th of November,Ryan
Marco,2019-11-02,Marco went to a Thai restaurant on the 2nd of November. The first person that went to a Thai restaurant was,2019-11-02,2nd of November,Marco
Emily,2019-11-26,Emily cooked cheesecake on the 26th of November. The first person that cooked cheesecake was,2019-11-26,26th of November,Emily
April,2019-12-18,April cleaned the windows on the 18th of December. The first person that cleaned the windows was,2019-12-18,18th of December,April
Kevin,2019-11-05,Kevin got a massage on the 5th of November. The first person that got a massage was,2019-11-05,5th of November,Kevin
Tyler,2019-12-18,Tyler watched TV on the 18th of December. The first person that watched TV was,2019-12-18,18th of December,Tyler
Frank,2019-12-05,Frank went to a concert on the 5th of December. The first person that went to a concert was,2019-12-05,5th of December,Frank
Frank,2019-12-24,Frank repotted the plants on the 24th of December. The first person that repotted the plants was,2019-12-24,24th of December,Frank
Hope,2019-12-23,Hope went to the cinema on the 23rd of December. The first person that went to the cinema was,2019-12-23,23rd of December,Hope
April,2019-12-12,April won a contest on the 12th of December. The first person that won a contest was,2019-12-12,12th of December,April
Joy,2019-12-04,Joy sold their car on the 4th of December. The first person that sold their car was,2019-12-04,4th of December,Joy
Henry,2019-11-16,Henry went to a Thai restaurant on the 16th of November. The first person that went to a Thai restaurant was,2019-11-16,16th of November,Henry
Joy,2019-11-01,Joy moved to a new city on the 1st of November. The first person that moved to a new city was,2019-11-01,1st of November,Joy
Marco,2019-11-30,Marco planted a tree on the 30th of November. The first person that planted a tree was,2019-11-30,30th of November,Marco
Kevin,2019-12-26,Kevin donated toys on the 26th of December. The first person that donated toys was,2019-12-26,26th of December,Kevin
Alex,2019-12-19,Alex filled out the application on the 19th of December. The first person that filled out the application was,2019-12-19,19th of December,Alex
Rachel,2019-11-29,Rachel attended a graduation on the 29th of November. The first person that attended a graduation was,2019-11-29,29th of November,Rachel
Steve,2019-11-27,Steve took a taxi on the 27th of November. The first person that took a taxi was,2019-11-27,27th of November,Steve
Jerry,2019-12-17,Jerry harvested a garden on the 17th of December. The first person that harvested a garden was,2019-12-17,17th of December,Jerry
Richard,2019-11-07,Richard mowed the lawn on the 7th of November. The first person that mowed the lawn was,2019-11-07,7th of November,Richard
Ryan,2019-11-27,Ryan took an exam on the 27th of November. The first person that took an exam was,2019-11-27,27th of November,Ryan
Henry,2019-11-28,Henry visited their family on the 28th of November. The first person that visited their family was,2019-11-28,28th of November,Henry
Steve,2019-12-17,Steve watched TV on the 17th of December. The first person that watched TV was,2019-12-17,17th of December,Steve
Mark,2019-11-17,Mark won a contest on the 17th of November. The first person that won a contest was,2019-11-17,17th of November,Mark
April,2019-11-25,April went to a Chinese restaurant on the 25th of November. The first person that went to a Chinese restaurant was,2019-11-25,25th of November,April
Dean,2019-12-17,Dean watered the plants on the 17th of December. The first person that watered the plants was,2019-12-17,17th of December,Dean
Henry,2019-11-28,Henry went to a concert on the 28th of November. The first person that went to a concert was,2019-11-28,28th of November,Henry
Hope,2019-12-13,Hope painted a portrait on the 13th of December. The first person that painted a portrait was,2019-12-13,13th of December,Hope
Brandon,2019-12-04,Brandon visited a new city on the 4th of December. The first person that visited a new city was,2019-12-04,4th of December,Brandon
Charlie,2019-11-08,Charlie attended a funeral on the 8th of November. The first person that attended a funeral was,2019-11-08,8th of November,Charlie
Brandon,2019-11-15,Brandon won a contest on the 15th of November. The first person that won a contest was,2019-11-15,15th of November,Brandon
April,2019-12-21,April attended a wedding on the 21st of December. The first person that attended a wedding was,2019-12-21,21st of December,April
Kyle,2019-12-24,Kyle got surgery on the 24th of December. The first person that got surgery was,2019-12-24,24th of December,Kyle
Tyler,2019-11-10,Tyler bought a new phone on the 10th of November. The first person that bought a new phone was,2019-11-10,10th of November,Tyler
Richard,2019-11-17,Richard watched a movie on the 17th of November. The first person that watched a movie was,2019-11-17,17th of November,Richard
Brandon,2019-11-15,Brandon mowed the lawn on the 15th of November. The first person that mowed the lawn was,2019-11-15,15th of November,Brandon
Steve,2019-11-27,Steve alphabetized the bookshelf on the 27th of November. The first person that alphabetized the bookshelf was,2019-11-27,27th of November,Steve
Andrew,2019-12-16,Andrew sent a postcard on the 16th of December. The first person that sent a postcard was,2019-12-16,16th of December,Andrew
Jason,2019-12-30,Jason took a boat on the 30th of December. The first person that took a boat was,2019-12-30,30th of December,Jason
Andrew,2019-11-18,Andrew attended a wedding on the 18th of November. The first person that attended a wedding was,2019-11-18,18th of November,Andrew
Jack,2019-12-02,Jack went to a French restaurant on the 2nd of December. The first person that went to a French restaurant was,2019-12-02,2nd of December,Jack
Charlie,2019-11-08,Charlie sent a postcard on the 8th of November. The first person that sent a postcard was,2019-11-08,8th of November,Charlie
Brandon,2019-11-15,Brandon cooked lasagna on the 15th of November. The first person that cooked lasagna was,2019-11-15,15th of November,Brandon
April,2019-12-21,April donated toys on the 21st of December. The first person that donated toys was,2019-12-21,21st of December,April
Brandon,2019-11-25,Brandon washed the car on the 25th of November. The first person that washed the car was,2019-11-25,25th of November,Brandon
Joy,2019-11-09,Joy purchased a new laptop on the 9th of November. The first person that purchased a new laptop was,2019-11-09,9th of November,Joy
