name_1,period_length_1,period_str_1,name_2,period_length_2,period_str_2,name_3,period_length_3,period_str_3,context,period_type,correct_period_str,correct_period_length,correct_answer
Kyle,120.0,every 4 months,Peter,91.25,four times a year,Dean,90.0,every 3 months,Kyle visits Italy every 4 months. Peter visits Italy four times a year. Dean visits Italy every 3 months. The person who visits Italy more often is,months,every 3 months,90.0,Dean
April,2190.0,every 6 years,Brandon,365.0,every year,Kyle,730.0,every two years,April goes to a wedding every 6 years. Brandon goes to a wedding every year. Kyle goes to a wedding every two years. The person who goes to a wedding more often is,years,every year,365.0,Brandon
Aaron,60.0,every two months,Bob,73.0,five times a year,Peter,120.0,every 4 months,Aaron throws a party every two months. Bob throws a party five times a year. Peter throws a party every 4 months. The person who throws a party more often is,months,every two months,60.0,Aaron
Tyler,2.0,every other day,Jack,3.5,twice a week,Marco,6.0,every 6 days,Tyler buys groceries every other day. Jack buys groceries twice a week. Marco buys groceries every 6 days. The person who buy groceries more often is,days,every other day,2.0,Tyler
Dallas,73.0,five times a year,Leon,365.0,every year,Ryan,180.0,every 6 months,Dallas goes on a business trip five times a year. Leon goes on a business trip every year. Ryan goes on a business trip every 6 months. The person who goes on a business trip more often is,months,five times a year,73.0,Dallas
Joy,6.0,five times a month,Jerry,7.5,four times a month,John,28.0,every 4 weeks,Joy plays tennis five times a month. Jerry plays tennis four times a month. John plays tennis every 4 weeks. The person who plays tennis more often is,weeks,five times a month,6.0,Joy
Connor,7.0,every week,Max,6.0,five times a month,George,42.0,every 6 weeks,Connor plays basketball every week. Max plays basketball five times a month. George plays basketball every 6 weeks. The person who plays basketball more often is,weeks,five times a month,6.0,Max
Marco,28.0,every 4 weeks,Alice,15.0,twice a month,Aaron,7.0,every week,Marco attends the yoga class every 4 weeks. Alice attends the yoga class twice a month. Aaron attends the yoga class every week. The person who attends th yoga class more often is,weeks,every week,7.0,Aaron
Matt,1.1666666666666667,six times a week,Jerry,2.0,every other day,Alice,7.0,every week,Matt takes out the trash six times a week. Jerry takes out the trash every other day. Alice takes out the trash every week. The person who takes out the trash more often is,days,six times a week,1.1666666666666667,Matt
Charlie,182.5,twice a year,Neil,60.0,every two months,Michael,150.0,every 5 months,Charlie visits Europe twice a year. Neil visits Europe every two months. Michael visits Europe every 5 months. The person who visits Europe more often is,months,every two months,60.0,Neil
Robert,365.0,every year,April,60.0,every two months,Dean,90.0,every 3 months,Robert attends a festival every year. April attends a festival every two months. Dean attends a festival every 3 months. The person who attends a festival more often is,months,every two months,60.0,April
Martin,7.0,every week,Michael,14.0,every other week,Jerry,30.0,every month,Martin plays basketball every week. Michael plays basketball every other week. Jerry plays basketball every month. The person who plays basketball more often is,weeks,every week,7.0,Martin
George,42.0,every 6 weeks,Robert,35.0,every 5 weeks,Kevin,10.0,three times a month,George takes the dance class every 6 weeks. Robert takes the dance class every 5 weeks. Kevin takes the dance class three times a month. The person who takes the dance class more often is,weeks,three times a month,10.0,Kevin
Robert,2.0,every other day,Henry,3.5,twice a week,Kevin,1.1666666666666667,six times a week,Robert buys groceries every other day. Henry buys groceries twice a week. Kevin buys groceries six times a week. The person who buy groceries more often is,days,six times a week,1.1666666666666667,Kevin
Joy,1.4,five times a week,Luke,1.75,four times a week,Charlie,1.0,daily,Joy visits their grandparents five times a week. Luke visits their grandparents four times a week. Charlie visits their grandparents daily. The person who visits their grandparents more often is,days,daily,1.0,Charlie
Ian,5.0,every 5 days,Laura,7.0,every week,Max,3.0,every 3 days,Ian cleans the house every 5 days. Laura cleans the house every week. Max cleans the house every 3 days. The person who cleans the house more often is,days,every 3 days,3.0,Max
Grant,150.0,every 5 months,John,30.0,monthly,Dallas,60.0,every two months,Grant votes in the elections every 5 months. John votes in the elections monthly. Dallas votes in the elections every two months. The person who votes in the elections more often is,months,monthly,30.0,John
Aaron,14.0,every other week,Martin,35.0,every 5 weeks,Brandon,6.0,five times a month,Aaron goes on a vacation every other week. Martin goes on a vacation every 5 weeks. Brandon goes on a vacation five times a month. The person who goes on a vacation more often is,weeks,five times a month,6.0,Brandon
Henry,3.5,twice a week,Hunter,2.3333333333333335,three times a week,Kevin,6.0,every 6 days,Henry reads the newspaper twice a week. Hunter reads the newspaper three times a week. Kevin reads the newspaper every 6 days. The person who reads the newspaper more often is,days,three times a week,2.3333333333333335,Hunter
Henry,180.0,every 6 months,Laura,73.0,five times a year,Mark,60.0,every two months,Henry goes on a vacation every 6 months. Laura goes on a vacation five times a year. Mark goes on a vacation every two months. The person who goes on a vacation more often is,months,every two months,60.0,Mark
George,10.0,three times a month,April,15.0,twice a month,Hunter,30.0,every month,George cleans the house three times a month. April cleans the house twice a month. Hunter cleans the house every month. The person who cleans the house more often is,weeks,three times a month,10.0,George
Jason,150.0,every 5 months,Leon,30.0,monthly,Rose,90.0,every 3 months,Jason attends a festival every 5 months. Leon attends a festival monthly. Rose attends a festival every 3 months. The person who attends a festival more often is,months,monthly,30.0,Leon
Walker,21.0,every 3 weeks,Steve,7.5,four times a month,Joy,14.0,every other week,Walker goes for a swim every 3 weeks. Steve goes for a swim four times a month. Joy goes for a swim every other week. The person who goes for a swim more often is,weeks,four times a month,7.5,Steve
Walker,1825.0,every 5 years,George,730.0,every two years,Brandon,2190.0,every 6 years,Walker goes to the dentist every 5 years. George goes to the dentist every two years. Brandon goes to the dentist every 6 years. The person who goes to the dentist more often is,years,every two years,730.0,George
Kevin,730.0,every two years,Luke,1095.0,every 3 years,Brandon,1825.0,every 5 years,Kevin votes in the elections every two years. Luke votes in the elections every 3 years. Brandon votes in the elections every 5 years. The person who votes in the elections more often is,years,every two years,730.0,Kevin
Peter,3.5,twice a week,Ian,1.1666666666666667,six times a week,Leon,3.0,every 3 days,Peter bakes a cake twice a week. Ian bakes a cake six times a week. Leon bakes a cake every 3 days. The person who bakes a cake more often is,days,six times a week,1.1666666666666667,Ian
Jack,30.0,every month,Scott,21.0,every 3 weeks,Leon,42.0,every 6 weeks,Jack watches a movie every month. Scott watches a movie every 3 weeks. Leon watches a movie every 6 weeks. The person who watches a movie more often is,weeks,every 3 weeks,21.0,Scott
Rachel,2.3333333333333335,three times a week,Michael,7.0,every week,Grant,3.5,twice a week,Rachel changes the bed sheets three times a week. Michael changes the bed sheets every week. Grant changes the bed sheets twice a week. The person who changes the bed sheets more often is,days,three times a week,2.3333333333333335,Rachel
April,15.0,twice a month,Jason,5.0,six times a month,Rachel,6.0,five times a month,April goes hiking twice a month. Jason goes hiking six times a month. Rachel goes hiking five times a month. The person who goes hiking more often is,weeks,six times a month,5.0,Jason
Ryan,182.5,twice a year,Emily,90.0,every 3 months,Marco,73.0,five times a year,Ryan visits France twice a year. Emily visits France every 3 months. Marco visits France five times a year. The person who visits France more often is,months,five times a year,73.0,Marco
Rachel,1.0,daily,Hunter,3.0,every 3 days,Michael,7.0,every week,Rachel plays basketball daily. Hunter plays basketball every 3 days. Michael plays basketball every week. The person who plays basketball more often is,days,daily,1.0,Rachel
Richard,60.833333333333336,six times a year,Peter,120.0,every 4 months,Tyler,30.0,monthly,Richard mows the lawn six times a year. Peter mows the lawn every 4 months. Tyler mows the lawn monthly. The person who mows the lawn more often is,months,monthly,30.0,Tyler
Dean,365.0,every year,Frank,1460.0,every 4 years,Fred,730.0,every two years,Dean visits France every year. Frank visits France every 4 years. Fred visits France every two years. The person who visits France more often is,years,every year,365.0,Dean
Jason,6.0,five times a month,April,21.0,every 3 weeks,Ryan,5.0,six times a month,Jason plays basketball five times a month. April plays basketball every 3 weeks. Ryan plays basketball six times a month. The person who plays basketball more often is,weeks,six times a month,5.0,Ryan
George,1460.0,every 4 years,Dallas,2190.0,every 6 years,Alice,1095.0,every 3 years,George visits the US every 4 years. Dallas visits the US every 6 years. Alice visits the US every 3 years. The person who visits the US more often is,years,every 3 years,1095.0,Alice
Frank,1.4,five times a week,Max,5.0,every 5 days,Richard,1.1666666666666667,six times a week,Frank takes out the trash five times a week. Max takes out the trash every 5 days. Richard takes out the trash six times a week. The person who takes out the trash more often is,days,six times a week,1.1666666666666667,Richard
Kyle,365.0,every year,Ryan,60.0,every other month,Rose,30.0,monthly,Kyle attends a conference every year. Ryan attends a conference every other month. Rose attends a conference monthly. The person who attends a conference more often is,months,monthly,30.0,Rose
Charlie,2.3333333333333335,three times a week,Peter,6.0,every 6 days,Dean,3.5,twice a week,Charlie cleans the house three times a week. Peter cleans the house every 6 days. Dean cleans the house twice a week. The person who cleans the house more often is,days,three times a week,2.3333333333333335,Charlie
Jerry,1825.0,every 5 years,Brandon,1460.0,every 4 years,Peter,730.0,every two years,Jerry attends a festival every 5 years. Brandon attends a festival every 4 years. Peter attends a festival every two years. The person who attends a festival more often is,years,every two years,730.0,Peter
Walker,730.0,every two years,Matt,365.0,every other year,Kevin,1460.0,every 4 years,Walker attends a concert every two years. Matt attends a concert every other year. Kevin attends a concert every 4 years. The person who attends a concert more often is,years,every other year,365.0,Matt
Fred,60.833333333333336,six times a year,Bob,120.0,every 4 months,Tyler,60.0,every two months,Fred visits the doctor six times a year. Bob visits the doctor every 4 months. Tyler visits the doctor every two months. The person who visits the doctor more often is,months,every two months,60.0,Tyler
Ian,182.5,twice a year,Michael,73.0,five times a year,Rose,90.0,every 3 months,Ian visits their grandparents twice a year. Michael visits their grandparents five times a year. Rose visits their grandparents every 3 months. The person who visits their grandparents more often is,months,five times a year,73.0,Michael
Leon,4.0,every 4 days,Fred,6.0,every 6 days,Mark,1.75,four times a week,Leon goes shopping every 4 days. Fred goes shopping every 6 days. Mark goes shopping four times a week. The person who goes shopping more often is,days,four times a week,1.75,Mark
Jack,180.0,every 6 months,Mark,60.0,every two months,Dallas,73.0,five times a year,Jack votes in the elections every 6 months. Mark votes in the elections every two months. Dallas votes in the elections five times a year. The person who votes in the elections more often is,months,every two months,60.0,Mark
Peter,1.1666666666666667,six times a week,Tyler,2.0,every other day,Scott,1.0,daily,Peter goes to the gym six times a week. Tyler goes to the gym every other day. Scott goes to the gym daily. The person who goes to the gym more often is,days,daily,1.0,Scott
Rachel,1095.0,every 3 years,Neil,365.0,every year,Luke,1460.0,every 4 years,Rachel visits Italy every 3 years. Neil visits Italy every year. Luke visits Italy every 4 years. The person who visits Italy more often is,years,every year,365.0,Neil
William,7.0,every week,Martin,6.0,five times a month,Jason,35.0,every 5 weeks,William plays volleyball every week. Martin plays volleyball five times a month. Jason plays volleyball every 5 weeks. The person who plays volleyball more often is,weeks,five times a month,6.0,Martin
Walker,35.0,every 5 weeks,Charlie,21.0,every 3 weeks,Aaron,7.5,four times a month,Walker takes out the trash every 5 weeks. Charlie takes out the trash every 3 weeks. Aaron takes out the trash four times a month. The person who takes out the trash more often is,weeks,four times a month,7.5,Aaron
Alex,3.5,twice a week,Brandon,1.0,every day,Connor,5.0,every 5 days,Alex watches a movie twice a week. Brandon watches a movie every day. Connor watches a movie every 5 days. The person who watches a movie more often is,days,every day,1.0,Brandon
Matt,2.0,every other day,Grant,6.0,every 6 days,George,1.4,five times a week,Matt goes for a swim every other day. Grant goes for a swim every 6 days. George goes for a swim five times a week. The person who goes for a swim more often is,days,five times a week,1.4,George
Kevin,90.0,every 3 months,Bob,121.66666666666667,three times a year,Tyler,182.5,twice a year,Kevin mows the lawn every 3 months. Bob mows the lawn three times a year. Tyler mows the lawn twice a year. The person who mows the lawn more often is,months,every 3 months,90.0,Kevin
Andrew,1.75,four times a week,Rose,1.0,every day,Mark,1.4,five times a week,Andrew watches a movie four times a week. Rose watches a movie every day. Mark watches a movie five times a week. The person who watches a movie more often is,days,every day,1.0,Rose
Josh,1.0,daily,Max,5.0,every 5 days,Jason,3.0,every 3 days,Josh does the laundry daily. Max does the laundry every 5 days. Jason does the laundry every 3 days. The person who does the laundry more often is,days,daily,1.0,Josh
Ryan,180.0,every 6 months,George,60.833333333333336,six times a year,Dallas,121.66666666666667,three times a year,Ryan bakes a cake every 6 months. George bakes a cake six times a year. Dallas bakes a cake three times a year. The person who bakes a cake more often is,months,six times a year,60.833333333333336,George
William,28.0,every 4 weeks,Blake,7.0,every week,Luke,7.5,four times a month,William goes for a swim every 4 weeks. Blake goes for a swim every week. Luke goes for a swim four times a month. The person who goes for a swim more often is,weeks,every week,7.0,Blake
Hope,60.0,every two months,Martin,182.5,twice a year,George,30.0,monthly,Hope bakes a cake every two months. Martin bakes a cake twice a year. George bakes a cake monthly. The person who bakes a cake more often is,months,monthly,30.0,George
Rachel,3.0,every 3 days,Max,1.0,every day,Aaron,1.75,four times a week,Rachel goes for a run every 3 days. Max goes for a run every day. Aaron goes for a run four times a week. The person who goes for a run more often is,days,every day,1.0,Max
Dean,15.0,twice a month,Connor,28.0,every 4 weeks,Jerry,10.0,three times a month,Dean mows the lawn twice a month. Connor mows the lawn every 4 weeks. Jerry mows the lawn three times a month. The person who mows the lawn more often is,weeks,three times a month,10.0,Jerry
Mark,10.0,three times a month,Joy,35.0,every 5 weeks,Josh,7.0,every week,Mark takes the dance class three times a month. Joy takes the dance class every 5 weeks. Josh takes the dance class every week. The person who takes the dance class more often is,weeks,every week,7.0,Josh
Peter,7.5,four times a month,Kevin,10.0,three times a month,Marco,28.0,every 4 weeks,Peter donates to charity four times a month. Kevin donates to charity three times a month. Marco donates to charity every 4 weeks. The person who donates to charity more often is,weeks,four times a month,7.5,Peter
Ian,1.1666666666666667,six times a week,Dean,2.0,every other day,Joy,6.0,every 6 days,Ian goes for a swim six times a week. Dean goes for a swim every other day. Joy goes for a swim every 6 days. The person who goes for a swim more often is,days,six times a week,1.1666666666666667,Ian
Brandon,1825.0,every 5 years,Ian,1460.0,every 4 years,Andrew,730.0,every two years,Brandon renews their passport every 5 years. Ian renews their passport every 4 years. Andrew renews their passport every two years. The person who renews their passport more often is,years,every two years,730.0,Andrew
John,28.0,every 4 weeks,Alex,5.0,six times a month,Frank,42.0,every 6 weeks,John takes out the trash every 4 weeks. Alex takes out the trash six times a month. Frank takes out the trash every 6 weeks. The person who takes out the trash more often is,weeks,six times a month,5.0,Alex
Hope,1460.0,every 4 years,Brandon,1825.0,every 5 years,Jerry,365.0,every year,Hope goes to a funeral every 4 years. Brandon goes to a funeral every 5 years. Jerry goes to a funeral every year. The person who goes to a funeral more often is,years,every year,365.0,Jerry
Tyler,2.0,every other day,Maria,1.1666666666666667,six times a week,Aaron,4.0,every 4 days,Tyler does the laundry every other day. Maria does the laundry six times a week. Aaron does the laundry every 4 days. The person who does the laundry more often is,days,six times a week,1.1666666666666667,Maria
Kevin,7.5,four times a month,Joy,35.0,every 5 weeks,Charlie,42.0,every 6 weeks,Kevin visits Italy four times a month. Joy visits Italy every 5 weeks. Charlie visits Italy every 6 weeks. The person who visits Italy more often is,weeks,four times a month,7.5,Kevin
Michael,14.0,every other week,Tyler,6.0,five times a month,Dallas,42.0,every 6 weeks,Michael attends a concert every other week. Tyler attends a concert five times a month. Dallas attends a concert every 6 weeks. The person who attends a concert more often is,weeks,five times a month,6.0,Tyler
Kyle,2.3333333333333335,three times a week,Max,1.1666666666666667,six times a week,Ian,1.0,every day,Kyle plays basketball three times a week. Max plays basketball six times a week. Ian plays basketball every day. The person who plays basketball more often is,days,every day,1.0,Ian
Martin,6.0,five times a month,Joy,35.0,every 5 weeks,Marco,7.0,every week,Martin donates to charity five times a month. Joy donates to charity every 5 weeks. Marco donates to charity every week. The person who donates to charity more often is,weeks,five times a month,6.0,Martin
Martin,2190.0,every 6 years,Andrew,1460.0,every 4 years,Leon,365.0,every year,Martin visits Europe every 6 years. Andrew visits Europe every 4 years. Leon visits Europe every year. The person who visits Europe more often is,years,every year,365.0,Leon
Peter,1.1666666666666667,six times a week,Laura,2.3333333333333335,three times a week,Brandon,2.0,every other day,Peter reads the newspaper six times a week. Laura reads the newspaper three times a week. Brandon reads the newspaper every other day. The person who reads the newspaper more often is,days,six times a week,1.1666666666666667,Peter
Emily,90.0,every 3 months,Ian,91.25,four times a year,Dallas,60.0,every other month,Emily donates to charity every 3 months. Ian donates to charity four times a year. Dallas donates to charity every other month. The person who donates to charity more often is,months,every other month,60.0,Dallas
Kevin,1095.0,every 3 years,Matt,365.0,every year,Leon,2190.0,every 6 years,Kevin votes in the elections every 3 years. Matt votes in the elections every year. Leon votes in the elections every 6 years. The person who votes in the elections more often is,years,every year,365.0,Matt
Leon,35.0,every 5 weeks,William,14.0,every other week,Connor,28.0,every 4 weeks,Leon takes a language class every 5 weeks. William takes a language class every other week. Connor takes a language class every 4 weeks. The person who takes a language class more often is,weeks,every other week,14.0,William
Matt,28.0,every 4 weeks,Scott,21.0,every 3 weeks,Connor,30.0,every month,Matt does the laundry every 4 weeks. Scott does the laundry every 3 weeks. Connor does the laundry every month. The person who does the laundry more often is,weeks,every 3 weeks,21.0,Scott
Fred,5.0,six times a month,Rachel,7.0,every week,Joy,15.0,twice a month,Fred plays soccer six times a month. Rachel plays soccer every week. Joy plays soccer twice a month. The person who plays soccer more often is,weeks,six times a month,5.0,Fred
April,60.833333333333336,six times a year,Hunter,73.0,five times a year,Dallas,60.0,every other month,April attends a conference six times a year. Hunter attends a conference five times a year. Dallas attends a conference every other month. The person who attends a conference more often is,months,every other month,60.0,Dallas
Hunter,30.0,monthly,Charlie,182.5,twice a year,Neil,60.0,every other month,Hunter attends a conference monthly. Charlie attends a conference twice a year. Neil attends a conference every other month. The person who attends a conference more often is,months,monthly,30.0,Hunter
Leon,30.0,monthly,Frank,73.0,five times a year,Mark,180.0,every 6 months,Leon goes on a vacation monthly. Frank goes on a vacation five times a year. Mark goes on a vacation every 6 months. The person who goes on a vacation more often is,months,monthly,30.0,Leon
Mark,6.0,five times a month,Luke,5.0,six times a month,Neil,21.0,every 3 weeks,Mark attends a concert five times a month. Luke attends a concert six times a month. Neil attends a concert every 3 weeks. The person who attends a concert more often is,weeks,six times a month,5.0,Luke
Neil,1460.0,every 4 years,Brandon,2190.0,every 6 years,Laura,365.0,every other year,Neil attends a concert every 4 years. Brandon attends a concert every 6 years. Laura attends a concert every other year. The person who attends a concert more often is,years,every other year,365.0,Laura
Robert,7.0,every week,John,28.0,every 4 weeks,Jack,10.0,three times a month,Robert goes to the gym every week. John goes to the gym every 4 weeks. Jack goes to the gym three times a month. The person who goes to the gym more often is,weeks,every week,7.0,Robert
Matt,2.0,every other day,Andrew,4.0,every 4 days,Aaron,7.0,every week,Matt waters the plants every other day. Andrew waters the plants every 4 days. Aaron waters the plants every week. The person who waters the plants more often is,days,every other day,2.0,Matt
Hunter,1.1666666666666667,six times a week,George,6.0,every 6 days,Dean,1.75,four times a week,Hunter walks the dog six times a week. George walks the dog every 6 days. Dean walks the dog four times a week. The person who walks the dog more often is,days,six times a week,1.1666666666666667,Hunter
Richard,1460.0,every 4 years,Peter,2190.0,every 6 years,William,730.0,every two years,Richard visits the US every 4 years. Peter visits the US every 6 years. William visits the US every two years. The person who visits the US more often is,years,every two years,730.0,William
Connor,35.0,every 5 weeks,John,14.0,every other week,Josh,21.0,every 3 weeks,Connor walks the dog every 5 weeks. John walks the dog every other week. Josh walks the dog every 3 weeks. The person who walks the dog more often is,weeks,every other week,14.0,John
Fred,1.4,five times a week,Aaron,7.0,every week,Dean,3.5,twice a week,Fred cleans the house five times a week. Aaron cleans the house every week. Dean cleans the house twice a week. The person who cleans the house more often is,days,five times a week,1.4,Fred
Brandon,60.0,every two months,Robert,73.0,five times a year,Walker,91.25,four times a year,Brandon goes on a business trip every two months. Robert goes on a business trip five times a year. Walker goes on a business trip four times a year. The person who goes on a business trip more often is,months,every two months,60.0,Brandon
Jerry,1095.0,every 3 years,Max,365.0,every year,Kevin,730.0,every two years,Jerry renews their passport every 3 years. Max renews their passport every year. Kevin renews their passport every two years. The person who renews their passport more often is,years,every year,365.0,Max
Mark,180.0,every 6 months,Richard,30.0,monthly,Dallas,73.0,five times a year,Mark goes hiking every 6 months. Richard goes hiking monthly. Dallas goes hiking five times a year. The person who goes hiking more often is,months,monthly,30.0,Richard
Matt,91.25,four times a year,Rose,90.0,every 3 months,Emily,180.0,every 6 months,Matt votes in the elections four times a year. Rose votes in the elections every 3 months. Emily votes in the elections every 6 months. The person who votes in the elections more often is,months,every 3 months,90.0,Rose
Ryan,28.0,every 4 weeks,Leon,5.0,six times a month,Kyle,6.0,five times a month,Ryan plays soccer every 4 weeks. Leon plays soccer six times a month. Kyle plays soccer five times a month. The person who plays soccer more often is,weeks,six times a month,5.0,Leon
Robert,91.25,four times a year,Maria,60.833333333333336,six times a year,Tyler,60.0,every other month,Robert attends a festival four times a year. Maria attends a festival six times a year. Tyler attends a festival every other month. The person who attends a festival more often is,months,every other month,60.0,Tyler
Brandon,90.0,every 3 months,Rachel,150.0,every 5 months,Joy,91.25,four times a year,Brandon visits France every 3 months. Rachel visits France every 5 months. Joy visits France four times a year. The person who visits France more often is,months,every 3 months,90.0,Brandon
Dean,7.0,every week,Rachel,4.0,every 4 days,Alex,1.75,four times a week,Dean goes to the gym every week. Rachel goes to the gym every 4 days. Alex goes to the gym four times a week. The person who goes to the gym more often is,days,four times a week,1.75,Alex
Grant,60.833333333333336,six times a year,Walker,365.0,every year,Emily,120.0,every 4 months,Grant goes on a vacation six times a year. Walker goes on a vacation every year. Emily goes on a vacation every 4 months. The person who goes on a vacation more often is,months,six times a year,60.833333333333336,Grant
Grant,121.66666666666667,three times a year,Blake,182.5,twice a year,Neil,60.833333333333336,six times a year,Grant visits France three times a year. Blake visits France twice a year. Neil visits France six times a year. The person who visits France more often is,months,six times a year,60.833333333333336,Neil
Kyle,7.0,every week,Walker,35.0,every 5 weeks,Rachel,15.0,twice a month,Kyle changes the bed sheets every week. Walker changes the bed sheets every 5 weeks. Rachel changes the bed sheets twice a month. The person who changes the bed sheets more often is,weeks,every week,7.0,Kyle
Charlie,21.0,every 3 weeks,Rachel,6.0,five times a month,Josh,30.0,every month,Charlie donates to charity every 3 weeks. Rachel donates to charity five times a month. Josh donates to charity every month. The person who donates to charity more often is,weeks,five times a month,6.0,Rachel
Kevin,90.0,every 3 months,Jason,60.0,every two months,Matt,60.833333333333336,six times a year,Kevin donates to charity every 3 months. Jason donates to charity every two months. Matt donates to charity six times a year. The person who donates to charity more often is,months,every two months,60.0,Jason
Dallas,1095.0,every 3 years,John,365.0,every other year,Fred,1460.0,every 4 years,Dallas goes on a vacation every 3 years. John goes on a vacation every other year. Fred goes on a vacation every 4 years. The person who goes on a vacation more often is,years,every other year,365.0,John
Mark,4.0,every 4 days,Peter,1.4,five times a week,Joy,6.0,every 6 days,Mark plays tennis every 4 days. Peter plays tennis five times a week. Joy plays tennis every 6 days. The person who plays tennis more often is,days,five times a week,1.4,Peter
Blake,7.0,every week,Emily,14.0,every other week,Dallas,5.0,six times a month,Blake does the laundry every week. Emily does the laundry every other week. Dallas does the laundry six times a month. The person who does the laundry more often is,weeks,six times a month,5.0,Dallas
Mark,1.4,five times a week,Josh,2.3333333333333335,three times a week,Matt,5.0,every 5 days,Mark refuels the car five times a week. Josh refuels the car three times a week. Matt refuels the car every 5 days. The person who refuels the car more often is,days,five times a week,1.4,Mark
Luke,1.75,four times a week,Kevin,1.0,every day,Dean,3.5,twice a week,Luke goes for a run four times a week. Kevin goes for a run every day. Dean goes for a run twice a week. The person who goes for a run more often is,days,every day,1.0,Kevin
Blake,1095.0,every 3 years,Alice,365.0,every year,George,1460.0,every 4 years,Blake goes to the dentist every 3 years. Alice goes to the dentist every year. George goes to the dentist every 4 years. The person who goes to the dentist more often is,years,every year,365.0,Alice
Walker,21.0,every 3 weeks,Martin,7.0,every week,Connor,30.0,every month,Walker goes on a business trip every 3 weeks. Martin goes on a business trip every week. Connor goes on a business trip every month. The person who goes on a business trip more often is,weeks,every week,7.0,Martin
Tyler,730.0,every two years,Dallas,365.0,every other year,Jerry,1095.0,every 3 years,Tyler goes to a funeral every two years. Dallas goes to a funeral every other year. Jerry goes to a funeral every 3 years. The person who goes to a funeral more often is,years,every other year,365.0,Dallas
Neil,3.0,every 3 days,Dean,5.0,every 5 days,Peter,1.75,four times a week,Neil goes for a swim every 3 days. Dean goes for a swim every 5 days. Peter goes for a swim four times a week. The person who goes for a swim more often is,days,four times a week,1.75,Peter
Ian,1.1666666666666667,six times a week,Jerry,2.0,every other day,Michael,7.0,every week,Ian plays basketball six times a week. Jerry plays basketball every other day. Michael plays basketball every week. The person who plays basketball more often is,days,six times a week,1.1666666666666667,Ian
Martin,7.5,four times a month,Joy,7.0,every week,William,15.0,twice a month,Martin watches a movie four times a month. Joy watches a movie every week. William watches a movie twice a month. The person who watches a movie more often is,weeks,every week,7.0,Joy
Tyler,30.0,every month,Scott,21.0,every 3 weeks,Neil,5.0,six times a month,Tyler changes the bed sheets every month. Scott changes the bed sheets every 3 weeks. Neil changes the bed sheets six times a month. The person who changes the bed sheets more often is,weeks,six times a month,5.0,Neil
Walker,35.0,every 5 weeks,Rose,7.5,four times a month,Dallas,5.0,six times a month,Walker goes to the dentist every 5 weeks. Rose goes to the dentist four times a month. Dallas goes to the dentist six times a month. The person who goes to the dentist more often is,weeks,six times a month,5.0,Dallas
Matt,21.0,every 3 weeks,Max,7.5,four times a month,Marco,14.0,every other week,Matt goes for a run every 3 weeks. Max goes for a run four times a month. Marco goes for a run every other week. The person who goes for a run more often is,weeks,four times a month,7.5,Max
Brandon,7.0,every week,April,21.0,every 3 weeks,Leon,35.0,every 5 weeks,Brandon waters the plants every week. April waters the plants every 3 weeks. Leon waters the plants every 5 weeks. The person who waters the plants more often is,weeks,every week,7.0,Brandon
Marco,6.0,every 6 days,Grant,1.0,daily,Charlie,4.0,every 4 days,Marco reads the newspaper every 6 days. Grant reads the newspaper daily. Charlie reads the newspaper every 4 days. The person who reads the newspaper more often is,days,daily,1.0,Grant
Laura,120.0,every 4 months,Hunter,60.0,every other month,Blake,30.0,monthly,Laura attends a workshop every 4 months. Hunter attends a workshop every other month. Blake attends a workshop monthly. The person who attends a workshop more often is,months,monthly,30.0,Blake
Joy,14.0,every other week,Steve,7.5,four times a month,Kyle,5.0,six times a month,Joy bakes a cake every other week. Steve bakes a cake four times a month. Kyle bakes a cake six times a month. The person who bakes a cake more often is,weeks,six times a month,5.0,Kyle
Tyler,1.4,five times a week,Frank,3.0,every 3 days,Max,1.75,four times a week,Tyler takes out the trash five times a week. Frank takes out the trash every 3 days. Max takes out the trash four times a week. The person who takes out the trash more often is,days,five times a week,1.4,Tyler
Hunter,30.0,every month,Brandon,6.0,five times a month,Robert,35.0,every 5 weeks,Hunter goes hiking every month. Brandon goes hiking five times a month. Robert goes hiking every 5 weeks. The person who goes hiking more often is,weeks,five times a month,6.0,Brandon
John,28.0,every 4 weeks,Leon,35.0,every 5 weeks,Brandon,7.0,every week,John plays volleyball every 4 weeks. Leon plays volleyball every 5 weeks. Brandon plays volleyball every week. The person who plays volleyball more often is,weeks,every week,7.0,Brandon
Jack,7.0,every week,Walker,3.5,twice a week,Kevin,1.1666666666666667,six times a week,Jack goes shopping every week. Walker goes shopping twice a week. Kevin goes shopping six times a week. The person who goes shopping more often is,days,six times a week,1.1666666666666667,Kevin
April,2190.0,every 6 years,Neil,730.0,every two years,Luke,1095.0,every 3 years,April votes in the elections every 6 years. Neil votes in the elections every two years. Luke votes in the elections every 3 years. The person who votes in the elections more often is,years,every two years,730.0,Neil
Frank,3.0,every 3 days,Charlie,1.0,daily,Maria,1.1666666666666667,six times a week,Frank cleans the house every 3 days. Charlie cleans the house daily. Maria cleans the house six times a week. The person who cleans the house more often is,days,daily,1.0,Charlie
Laura,1.4,five times a week,Blake,2.3333333333333335,three times a week,Scott,3.5,twice a week,Laura watches a movie five times a week. Blake watches a movie three times a week. Scott watches a movie twice a week. The person who watches a movie more often is,days,five times a week,1.4,Laura
