name_1,date_1,duration_str_1,name_2,date_2,duration_str_2,name_3,date_3,duration_str_3,context,duration_type,correct_date,correct_date_expr,correct_end_date,correct_duration,correct_duration_str,correct_duration_length,correct_month,correct_answer
Martin,2019-08-27,2 weeks,Alex,2019-08-10,1 week,Frank,2019-08-26,25 days,Martin is going camping on the 27th of August and will be out for 2 weeks. Alex is going camping on the 10th of August and will be out for 1 week. Frank is going camping on the 26th of August and will be out for 25 days. The person whose camping ends first is,weeks,2019-08-10,the 10th of August,2019-08-17,7 days,1 week,7,August,Alex
Maria,2019-08-25,8 months,Laura,2019-07-13,10 weeks,Joy,2019-08-21,6 weeks,Maria's residency begins on the 25th of August and goes on for 8 months. Laura's residency begins on the 13th of July and goes on for 10 weeks. Joy's residency begins on the 21st of August and goes on for 6 weeks. The person whose residency ends first is,months,2019-07-13,the 13th of July,2019-09-21,70 days,10 weeks,70,July,Laura
Maria,2019-07-23,5 days,Rachel,2019-07-18,2 days,April,2019-07-11,10 days,"Maria begins a seminar on the 23rd of July, lasting for 5 days. Rachel begins a seminar on the 18th of July, lasting for 2 days. April begins a seminar on the 11th of July, lasting for 10 days. The person whose seminar ends first is",days,2019-07-18,the 18th of July,2019-07-20,2 days,2 days,2,July,Rachel
Blake,2019-08-04,24 months,Frank,2019-08-25,24 months,Luke,2019-07-08,18 months,"Blake is commencing a postdoctoral fellowship on the 4th of August, scheduled to span 24 months. Frank is commencing a postdoctoral fellowship on the 25th of August, scheduled to span 24 months. Luke is commencing a postdoctoral fellowship on the 8th of July, scheduled to span 18 months. The person whose fellowship ends first is",years,2019-07-08,the 8th of July,2020-12-29,540 days,18 months,540,July,Luke
Ryan,2019-07-05,12 months,Scott,2019-08-24,12 months,George,2019-08-05,18 months,"Ryan begins their employment contract on the 5th of July, with a term of 12 months. Scott begins their employment contract on the 24th of August, with a term of 12 months. George begins their employment contract on the 5th of August, with a term of 18 months. The person whose employment contract ends first is",years,2019-07-05,the 5th of July,2020-06-29,360 days,12 months,360,July,Ryan
Charlie,2019-08-04,4 months,Peter,2019-07-17,6 months,Alice,2019-07-06,3 months,"Charlie is commencing a postdoctoral fellowship on the 4th of August, scheduled to span 4 months. Peter is commencing a postdoctoral fellowship on the 17th of July, scheduled to span 6 months. Alice is commencing a postdoctoral fellowship on the 6th of July, scheduled to span 3 months. The person whose fellowship ends first is",months,2019-07-06,the 6th of July,2019-10-04,90 days,3 months,90,July,Alice
Luke,2019-08-01,4 days,Rose,2019-08-25,10 days,Walker,2019-07-25,6 days,Luke is enrolled in a cooking class beginning on the 1st of August and lasting 4 days. Rose is enrolled in a cooking class beginning on the 25th of August and lasting 10 days. Walker is enrolled in a cooking class beginning on the 25th of July and lasting 6 days. The person whose cooking class ends first is,days,2019-07-25,the 25th of July,2019-07-31,6 days,6 days,6,July,Walker
Josh,2019-07-07,8 weeks,Rachel,2019-08-07,4 weeks,Scott,2019-07-22,8 weeks,"Josh begins their employment contract on the 7th of July, with a term of 8 weeks. Rachel begins their employment contract on the 7th of August, with a term of 4 weeks. Scott begins their employment contract on the 22nd of July, with a term of 8 weeks. The person whose employment contract ends first is",months,2019-07-07,the 7th of July,2019-09-01,56 days,8 weeks,56,July,Josh
Walker,2019-07-10,30 days,Maria,2019-08-03,25 days,Rachel,2019-07-24,7 days,Walker is starting a mentorship program on the 10th of July and will be engaged for 30 days. Maria is starting a mentorship program on the 3rd of August and will be engaged for 25 days. Rachel is starting a mentorship program on the 24th of July and will be engaged for 7 days. The person whose mentorship program ends first is,weeks,2019-07-24,the 24th of July,2019-07-31,7 days,7 days,7,July,Rachel
Alice,2019-08-28,8 days,Luke,2019-08-01,4 days,Marco,2019-07-16,3 days,"Alice is starting a coding sprint on the 28th of August, running for 8 days. Luke is starting a coding sprint on the 1st of August, running for 4 days. Marco is starting a coding sprint on the 16th of July, running for 3 days. The person whose coding sprint ends first is",days,2019-07-16,the 16th of July,2019-07-19,3 days,3 days,3,July,Marco
Rose,2019-08-25,10 days,Alice,2019-08-28,8 days,Scott,2019-07-12,6 days,Rose's project kickoff is on the 25th of August and lasts for 10 days. Alice's project kickoff is on the 28th of August and lasts for 8 days. Scott's project kickoff is on the 12th of July and lasts for 6 days. The person whose project ends first is,days,2019-07-12,the 12th of July,2019-07-18,6 days,6 days,6,July,Scott
Charlie,2019-08-03,2 weeks,John,2019-08-30,21 days,Rachel,2019-08-28,14 days,Charlie's trial period begins on the 3rd of August and lasts for 2 weeks. John's trial period begins on the 30th of August and lasts for 21 days. Rachel's trial period begins on the 28th of August and lasts for 14 days. The person whose trial period ends first is,weeks,2019-08-03,the 3rd of August,2019-08-17,14 days,2 weeks,14,August,Charlie
Jason,2019-07-27,36 months,Frank,2019-08-30,1 year,Richard,2019-07-19,36 months,Jason is beginning a research fellowship on the 27th of July and will last for 36 months. Frank is beginning a research fellowship on the 30th of August and will last for 1 year. Richard is beginning a research fellowship on the 19th of July and will last for 36 months. The person whose fellowship ends first is,years,2019-08-30,the 30th of August,2020-08-29,365 days,1 year,365,August,Frank
Alex,2019-08-11,4 weeks,Jerry,2019-08-20,3 weeks,April,2019-08-19,1 week,"Alex is beginning a sailing trip on the 11th of August, lasting roughly 4 weeks. Jerry is beginning a sailing trip on the 20th of August, lasting roughly 3 weeks. April is beginning a sailing trip on the 19th of August, lasting roughly 1 week. The person whose sailing trip ends first is",weeks,2019-08-19,the 19th of August,2019-08-26,7 days,1 week,7,August,April
William,2019-07-10,2 years,Hunter,2019-07-16,12 months,George,2019-08-05,18 months,William is starting a remote assignment on the 10th of July and will work for 2 years. Hunter is starting a remote assignment on the 16th of July and will work for 12 months. George is starting a remote assignment on the 5th of August and will work for 18 months. The person whose remote work ends first is,years,2019-07-16,the 16th of July,2020-07-10,360 days,12 months,360,July,Hunter
Laura,2019-08-10,36 months,William,2019-08-22,3 years,Emily,2019-07-02,24 months,Laura is starting a remote assignment on the 10th of August and will work for 36 months. William is starting a remote assignment on the 22nd of August and will work for 3 years. Emily is starting a remote assignment on the 2nd of July and will work for 24 months. The person whose remote work ends first is,years,2019-07-02,the 2nd of July,2021-06-21,720 days,24 months,720,July,Emily
Steve,2019-07-08,24 months,Frank,2019-08-30,1 year,Hunter,2019-07-21,18 months,"Steve begins their employment contract on the 8th of July, with a term of 24 months. Frank begins their employment contract on the 30th of August, with a term of 1 year. Hunter begins their employment contract on the 21st of July, with a term of 18 months. The person whose employment contract ends first is",years,2019-08-30,the 30th of August,2020-08-29,365 days,1 year,365,August,Frank
Jason,2019-07-27,36 months,Neil,2019-08-12,2 years,Ryan,2019-07-05,12 months,Jason is starting a language course on the 27th of July and will last for 36 months. Neil is starting a language course on the 12th of August and will last for 2 years. Ryan is starting a language course on the 5th of July and will last for 12 months. The person whose language course ends first is,years,2019-07-05,the 5th of July,2020-06-29,360 days,12 months,360,July,Ryan
Maria,2019-08-03,25 days,Jason,2019-08-01,7 days,Michael,2019-07-25,7 days,Maria is starting a mentorship program on the 3rd of August and will be engaged for 25 days. Jason is starting a mentorship program on the 1st of August and will be engaged for 7 days. Michael is starting a mentorship program on the 25th of July and will be engaged for 7 days. The person whose mentorship program ends first is,weeks,2019-07-25,the 25th of July,2019-08-01,7 days,7 days,7,July,Michael
Rachel,2019-08-07,4 weeks,Scott,2019-07-22,8 weeks,John,2019-07-30,6 weeks,"Rachel starts a sabbatical on the 7th of August, which will continue for the next 4 weeks. Scott starts a sabbatical on the 22nd of July, which will continue for the next 8 weeks. John starts a sabbatical on the 30th of July, which will continue for the next 6 weeks. The person whose sabbatical ends first is",months,2019-08-07,the 7th of August,2019-09-04,28 days,4 weeks,28,August,Rachel
Joy,2019-08-21,10 weeks,Peter,2019-08-22,8 weeks,Rachel,2019-07-27,6 weeks,Joy's mentorship begins on the 21st of August and continues for 10 weeks. Peter's mentorship begins on the 22nd of August and continues for 8 weeks. Rachel's mentorship begins on the 27th of July and continues for 6 weeks. The person whose mentorship ends first is,months,2019-07-27,the 27th of July,2019-09-07,42 days,6 weeks,42,July,Rachel
Rachel,2019-07-27,6 weeks,Walker,2019-08-24,1 month,Steve,2019-08-05,4 months,Rachel is starting a volunteer program on the 27th of July and will be active for 6 weeks. Walker is starting a volunteer program on the 24th of August and will be active for 1 month. Steve is starting a volunteer program on the 5th of August and will be active for 4 months. The person whose volunteer program ends first is,months,2019-07-27,the 27th of July,2019-09-07,42 days,6 weeks,42,July,Rachel
Joy,2019-07-21,8 days,Marco,2019-07-16,3 days,Aaron,2019-08-21,2 days,Joy is going on a road trip starting on the 21st of July and will be traveling for 8 days. Marco is going on a road trip starting on the 16th of July and will be traveling for 3 days. Aaron is going on a road trip starting on the 21st of August and will be traveling for 2 days. The person whose road trip ends first is,days,2019-07-16,the 16th of July,2019-07-19,3 days,3 days,3,July,Marco
Martin,2019-08-27,2 weeks,Alex,2019-08-11,4 weeks,Charlie,2019-08-01,4 weeks,Martin is going on vacation starting on the 27th of August and will be away for 2 weeks. Alex is going on vacation starting on the 11th of August and will be away for 4 weeks. Charlie is going on vacation starting on the 1st of August and will be away for 4 weeks. The person whose vacation ends first is,weeks,2019-08-01,the 1st of August,2019-08-29,28 days,4 weeks,28,August,Charlie
Grant,2019-07-09,3 weeks,Charlie,2019-08-03,2 weeks,Kevin,2019-07-11,21 days,"Grant is beginning a sailing trip on the 9th of July, lasting roughly 3 weeks. Charlie is beginning a sailing trip on the 3rd of August, lasting roughly 2 weeks. Kevin is beginning a sailing trip on the 11th of July, lasting roughly 21 days. The person whose sailing trip ends first is",weeks,2019-07-09,the 9th of July,2019-07-30,21 days,3 weeks,21,July,Grant
Maria,2019-08-03,25 days,Frank,2019-08-14,4 weeks,Bob,2019-07-29,30 days,Maria's conference kicks off on the 3rd of August and continues for 25 days. Frank's conference kicks off on the 14th of August and continues for 4 weeks. Bob's conference kicks off on the 29th of July and continues for 30 days. The person whose conference ends first is,weeks,2019-08-03,the 3rd of August,2019-08-28,25 days,25 days,25,August,Maria
Rachel,2019-08-07,4 weeks,Peter,2019-08-22,8 weeks,Scott,2019-08-30,6 months,"Rachel begins a renovation project on the 7th of August, scheduled to take 4 weeks to complete. Peter begins a renovation project on the 22nd of August, scheduled to take 8 weeks to complete. Scott begins a renovation project on the 30th of August, scheduled to take 6 months to complete. The person whose renovation project ends first is",months,2019-08-07,the 7th of August,2019-09-04,28 days,4 weeks,28,August,Rachel
Alice,2019-08-20,2 days,Ryan,2019-07-27,9 days,Scott,2019-08-19,7 days,Alice is starting a workshop on the 20th of August lasting 2 days. Ryan is starting a workshop on the 27th of July lasting 9 days. Scott is starting a workshop on the 19th of August lasting 7 days. The person whose workshop ends first is,days,2019-07-27,the 27th of July,2019-08-05,9 days,9 days,9,July,Ryan
Peter,2019-07-17,6 months,Josh,2019-07-07,8 weeks,Charlie,2019-08-04,4 months,"Peter begins a renovation project on the 17th of July, scheduled to take 6 months to complete. Josh begins a renovation project on the 7th of July, scheduled to take 8 weeks to complete. Charlie begins a renovation project on the 4th of August, scheduled to take 4 months to complete. The person whose renovation project ends first is",months,2019-07-07,the 7th of July,2019-09-01,56 days,8 weeks,56,July,Josh
William,2019-08-22,3 years,Kyle,2019-08-14,2 years,Luke,2019-07-08,18 months,William is beginning a writing project on the 22nd of August and will be working on it for 3 years. Kyle is beginning a writing project on the 14th of August and will be working on it for 2 years. Luke is beginning a writing project on the 8th of July and will be working on it for 18 months. The person whose writing project ends first is,years,2019-07-08,the 8th of July,2020-12-29,540 days,18 months,540,July,Luke
Emily,2019-07-24,14 days,Frank,2019-08-26,25 days,Hunter,2019-08-03,25 days,Emily is going camping on the 24th of July and will be out for 14 days. Frank is going camping on the 26th of August and will be out for 25 days. Hunter is going camping on the 3rd of August and will be out for 25 days. The person whose camping ends first is,weeks,2019-07-24,the 24th of July,2019-08-07,14 days,14 days,14,July,Emily
Emily,2019-07-02,24 months,Marco,2019-08-27,4 years,Kyle,2019-08-28,1 year,Emily is beginning a research fellowship on the 2nd of July and will last for 24 months. Marco is beginning a research fellowship on the 27th of August and will last for 4 years. Kyle is beginning a research fellowship on the 28th of August and will last for 1 year. The person whose fellowship ends first is,years,2019-08-28,the 28th of August,2020-08-27,365 days,1 year,365,August,Kyle
Rachel,2019-07-08,12 months,Tyler,2019-07-27,1 year,Dallas,2019-08-05,1 year,"Rachel begins a renovation project on the 8th of July, scheduled to take 12 months to complete. Tyler begins a renovation project on the 27th of July, scheduled to take 1 year to complete. Dallas begins a renovation project on the 5th of August, scheduled to take 1 year to complete. The person whose renovation project ends first is",years,2019-07-08,the 8th of July,2020-07-02,360 days,12 months,360,July,Rachel
Hunter,2019-07-16,12 months,Jason,2019-08-14,24 months,Peter,2019-07-27,4 years,"Hunter begins a renovation project on the 16th of July, scheduled to take 12 months to complete. Jason begins a renovation project on the 14th of August, scheduled to take 24 months to complete. Peter begins a renovation project on the 27th of July, scheduled to take 4 years to complete. The person whose renovation project ends first is",years,2019-07-16,the 16th of July,2020-07-10,360 days,12 months,360,July,Hunter
Steve,2019-07-13,1 year,Hunter,2019-07-29,18 months,William,2019-07-10,2 years,Steve's residency begins on the 13th of July and goes on for 1 year. Hunter's residency begins on the 29th of July and goes on for 18 months. William's residency begins on the 10th of July and goes on for 2 years. The person whose residency ends first is,years,2019-07-13,the 13th of July,2020-07-12,365 days,1 year,365,July,Steve
Rose,2019-08-25,10 days,Matt,2019-07-12,5 days,Connor,2019-07-30,3 days,Rose's project kickoff is on the 25th of August and lasts for 10 days. Matt's project kickoff is on the 12th of July and lasts for 5 days. Connor's project kickoff is on the 30th of July and lasts for 3 days. The person whose project ends first is,days,2019-07-12,the 12th of July,2019-07-17,5 days,5 days,5,July,Matt
Brandon,2019-08-18,1 week,Frank,2019-08-14,4 weeks,April,2019-08-19,1 week,Brandon's project kickoff is on the 18th of August and lasts for 1 week. Frank's project kickoff is on the 14th of August and lasts for 4 weeks. April's project kickoff is on the 19th of August and lasts for 1 week. The person whose project ends first is,weeks,2019-08-18,the 18th of August,2019-08-25,7 days,1 week,7,August,Brandon
Frank,2019-07-01,10 days,Kyle,2019-07-12,9 days,Connor,2019-07-30,3 days,Frank is starting a workshop on the 1st of July lasting 10 days. Kyle is starting a workshop on the 12th of July lasting 9 days. Connor is starting a workshop on the 30th of July lasting 3 days. The person whose workshop ends first is,days,2019-07-01,the 1st of July,2019-07-11,10 days,10 days,10,July,Frank
Ryan,2019-08-16,2 weeks,Brandon,2019-08-04,3 weeks,Bob,2019-08-22,21 days,Ryan's probation period starts on the 16th of August and will complete it in 2 weeks. Brandon's probation period starts on the 4th of August and will complete it in 3 weeks. Bob's probation period starts on the 22nd of August and will complete it in 21 days. The person whose probation period ends first is,weeks,2019-08-04,the 4th of August,2019-08-25,21 days,3 weeks,21,August,Brandon
William,2019-07-10,2 years,Mark,2019-08-01,3 years,Henry,2019-08-15,3 years,William's subscription starts on the 10th of July and lasts for 2 years. Mark's subscription starts on the 1st of August and lasts for 3 years. Henry's subscription starts on the 15th of August and lasts for 3 years. The person whose subscription ends first is,years,2019-07-10,the 10th of July,2021-07-09,730 days,2 years,730,July,William
Frank,2019-08-24,2 months,Steve,2019-07-03,2 months,Martin,2019-08-17,2 months,"Frank begins a renovation project on the 24th of August, scheduled to take 2 months to complete. Steve begins a renovation project on the 3rd of July, scheduled to take 2 months to complete. Martin begins a renovation project on the 17th of August, scheduled to take 2 months to complete. The person whose renovation project ends first is",months,2019-07-03,the 3rd of July,2019-09-01,60 days,2 months,60,July,Steve
Joy,2019-08-21,6 weeks,Rose,2019-07-09,3 months,Bob,2019-08-30,8 weeks,Joy is starting a volunteer program on the 21st of August and will be active for 6 weeks. Rose is starting a volunteer program on the 9th of July and will be active for 3 months. Bob is starting a volunteer program on the 30th of August and will be active for 8 weeks. The person whose volunteer program ends first is,months,2019-08-21,the 21st of August,2019-10-02,42 days,6 weeks,42,August,Joy
Jason,2019-08-24,8 weeks,Hope,2019-08-31,6 months,Robert,2019-07-29,8 months,"Jason starts a sabbatical on the 24th of August, which will continue for the next 8 weeks. Hope starts a sabbatical on the 31st of August, which will continue for the next 6 months. Robert starts a sabbatical on the 29th of July, which will continue for the next 8 months. The person whose sabbatical ends first is",months,2019-08-24,the 24th of August,2019-10-19,56 days,8 weeks,56,August,Jason
Richard,2019-07-19,36 months,Hunter,2019-07-21,18 months,Marco,2019-07-11,3 years,"Richard starts a data science course on the 19th of July, continuing for 36 months. Hunter starts a data science course on the 21st of July, continuing for 18 months. Marco starts a data science course on the 11th of July, continuing for 3 years. The person whose data science course ends first is",years,2019-07-21,the 21st of July,2021-01-11,540 days,18 months,540,July,Hunter
April,2019-08-08,6 months,Scott,2019-07-22,8 weeks,Peter,2019-08-22,8 weeks,April is beginning a research fellowship on the 8th of August and will last for 6 months. Scott is beginning a research fellowship on the 22nd of July and will last for 8 weeks. Peter is beginning a research fellowship on the 22nd of August and will last for 8 weeks. The person whose fellowship ends first is,months,2019-07-22,the 22nd of July,2019-09-16,56 days,8 weeks,56,July,Scott
Rachel,2019-07-27,6 weeks,Josh,2019-08-09,8 months,Scott,2019-08-30,6 months,"Rachel starts a sabbatical on the 27th of July, which will continue for the next 6 weeks. Josh starts a sabbatical on the 9th of August, which will continue for the next 8 months. Scott starts a sabbatical on the 30th of August, which will continue for the next 6 months. The person whose sabbatical ends first is",months,2019-07-27,the 27th of July,2019-09-07,42 days,6 weeks,42,July,Rachel
Josh,2019-07-17,6 days,April,2019-07-11,10 days,Aaron,2019-08-21,2 days,Josh is going camping on the 17th of July and will be out for 6 days. April is going camping on the 11th of July and will be out for 10 days. Aaron is going camping on the 21st of August and will be out for 2 days. The person whose camping ends first is,days,2019-07-11,the 11th of July,2019-07-21,10 days,10 days,10,July,April
Grant,2019-07-09,3 weeks,Bob,2019-07-29,30 days,Frank,2019-08-26,25 days,"Grant is beginning a sailing trip on the 9th of July, lasting roughly 3 weeks. Bob is beginning a sailing trip on the 29th of July, lasting roughly 30 days. Frank is beginning a sailing trip on the 26th of August, lasting roughly 25 days. The person whose sailing trip ends first is",weeks,2019-07-09,the 9th of July,2019-07-30,21 days,3 weeks,21,July,Grant
Jerry,2019-08-19,2 days,Frank,2019-07-01,10 days,Kyle,2019-07-12,9 days,Jerry's intensive course starts on the 19th of August and lasts for 2 days. Frank's intensive course starts on the 1st of July and lasts for 10 days. Kyle's intensive course starts on the 12th of July and lasts for 9 days. The person whose intensive course ends first is,days,2019-07-01,the 1st of July,2019-07-11,10 days,10 days,10,July,Frank
Dallas,2019-08-05,1 year,Andrew,2019-08-27,1 year,Connor,2019-07-23,3 years,"Dallas begins their employment contract on the 5th of August, with a term of 1 year. Andrew begins their employment contract on the 27th of August, with a term of 1 year. Connor begins their employment contract on the 23rd of July, with a term of 3 years. The person whose employment contract ends first is",years,2019-08-05,the 5th of August,2020-08-04,365 days,1 year,365,August,Dallas
Michael,2019-08-09,7 days,Marco,2019-08-27,3 days,Steve,2019-08-12,3 days,"Michael starts a photography bootcamp on the 9th of August, which lasts for 7 days. Marco starts a photography bootcamp on the 27th of August, which lasts for 3 days. Steve starts a photography bootcamp on the 12th of August, which lasts for 3 days. The person whose photography bootcamp ends first is",days,2019-08-12,the 12th of August,2019-08-15,3 days,3 days,3,August,Steve
Jerry,2019-08-20,3 weeks,Bob,2019-07-29,30 days,Jack,2019-08-19,4 weeks,Jerry is going on a road trip starting on the 20th of August and will be traveling for 3 weeks. Bob is going on a road trip starting on the 29th of July and will be traveling for 30 days. Jack is going on a road trip starting on the 19th of August and will be traveling for 4 weeks. The person whose road trip ends first is,weeks,2019-07-29,the 29th of July,2019-08-28,30 days,30 days,30,July,Bob
Luke,2019-08-06,30 days,Alice,2019-08-16,25 days,Charlie,2019-08-01,4 weeks,Luke is starting a mentorship program on the 6th of August and will be engaged for 30 days. Alice is starting a mentorship program on the 16th of August and will be engaged for 25 days. Charlie is starting a mentorship program on the 1st of August and will be engaged for 4 weeks. The person whose mentorship program ends first is,weeks,2019-08-01,the 1st of August,2019-08-29,28 days,4 weeks,28,August,Charlie
Scott,2019-08-19,7 days,Marco,2019-07-16,3 days,Aaron,2019-08-08,5 days,Scott is going on a road trip starting on the 19th of August and will be traveling for 7 days. Marco is going on a road trip starting on the 16th of July and will be traveling for 3 days. Aaron is going on a road trip starting on the 8th of August and will be traveling for 5 days. The person whose road trip ends first is,days,2019-07-16,the 16th of July,2019-07-19,3 days,3 days,3,July,Marco
Blake,2019-07-16,6 weeks,Robert,2019-07-18,1 month,April,2019-07-15,10 weeks,"Blake begins their employment contract on the 16th of July, with a term of 6 weeks. Robert begins their employment contract on the 18th of July, with a term of 1 month. April begins their employment contract on the 15th of July, with a term of 10 weeks. The person whose employment contract ends first is",months,2019-07-18,the 18th of July,2019-08-17,30 days,1 month,30,July,Robert
Kyle,2019-09-09,4 months,John,2019-10-23,6 weeks,Charlie,2019-10-30,8 months,Kyle is starting a community service project on the 9th of September and will be involved for 4 months. John is starting a community service project on the 23rd of October and will be involved for 6 weeks. Charlie is starting a community service project on the 30th of October and will be involved for 8 months. The person whose community service ends first is,months,2019-10-23,the 23rd of October,2019-12-04,42 days,6 weeks,42,October,John
Dallas,2019-10-23,2 weeks,Henry,2019-10-21,10 days,April,2019-09-08,3 weeks,Dallas is going on a road trip starting on the 23rd of October and will be traveling for 2 weeks. Henry is going on a road trip starting on the 21st of October and will be traveling for 10 days. April is going on a road trip starting on the 8th of September and will be traveling for 3 weeks. The person whose road trip ends first is,weeks,2019-09-08,the 8th of September,2019-09-29,21 days,3 weeks,21,September,April
Emily,2019-10-11,5 days,Laura,2019-10-23,3 days,Marco,2019-10-02,9 days,Emily leaves for a retreat on the 11th of October and will be away for 5 days. Laura leaves for a retreat on the 23rd of October and will be away for 3 days. Marco leaves for a retreat on the 2nd of October and will be away for 9 days. The person whose retreat ends first is,days,2019-10-02,the 2nd of October,2019-10-11,9 days,9 days,9,October,Marco
Neil,2019-10-05,3 years,Walker,2019-10-25,12 months,Dallas,2019-09-02,2 years,Neil's probation period starts on the 5th of October and will complete it in 3 years. Walker's probation period starts on the 25th of October and will complete it in 12 months. Dallas's probation period starts on the 2nd of September and will complete it in 2 years. The person whose probation period ends first is,years,2019-10-25,the 25th of October,2020-10-19,360 days,12 months,360,October,Walker
Brandon,2019-10-14,21 days,Jason,2019-09-04,4 weeks,John,2019-09-25,2 weeks,Brandon's intensive course starts on the 14th of October and lasts for 21 days. Jason's intensive course starts on the 4th of September and lasts for 4 weeks. John's intensive course starts on the 25th of September and lasts for 2 weeks. The person whose intensive course ends first is,weeks,2019-09-04,the 4th of September,2019-10-02,28 days,4 weeks,28,September,Jason
Laura,2019-09-28,4 years,Marco,2019-10-08,24 months,Maria,2019-10-16,3 years,Laura is beginning a research fellowship on the 28th of September and will last for 4 years. Marco is beginning a research fellowship on the 8th of October and will last for 24 months. Maria is beginning a research fellowship on the 16th of October and will last for 3 years. The person whose fellowship ends first is,years,2019-10-08,the 8th of October,2021-09-27,720 days,24 months,720,October,Marco
Leon,2019-10-03,1 day,Henry,2019-10-26,5 days,Ian,2019-10-14,8 days,"Leon is starting a hiking expedition on the 3rd of October, which will last for 1 day. Henry is starting a hiking expedition on the 26th of October, which will last for 5 days. Ian is starting a hiking expedition on the 14th of October, which will last for 8 days. The person whose expedition ends first is",days,2019-10-03,the 3rd of October,2019-10-04,1 days,1 day,1,October,Leon
John,2019-10-22,8 weeks,Grant,2019-10-11,6 months,Peter,2019-09-06,4 weeks,John is starting a language course on the 22nd of October and will last for 8 weeks. Grant is starting a language course on the 11th of October and will last for 6 months. Peter is starting a language course on the 6th of September and will last for 4 weeks. The person whose language course ends first is,months,2019-09-06,the 6th of September,2019-10-04,28 days,4 weeks,28,September,Peter
George,2019-09-16,10 days,Michael,2019-09-06,10 days,Ian,2019-09-19,10 days,George's music tour starts on the 16th of September and lasts for 10 days. Michael's music tour starts on the 6th of September and lasts for 10 days. Ian's music tour starts on the 19th of September and lasts for 10 days. The person whose music tour ends first is,weeks,2019-09-06,the 6th of September,2019-09-16,10 days,10 days,10,September,Michael
Dallas,2019-10-10,7 days,Leon,2019-10-03,1 day,Steve,2019-09-12,3 days,Dallas's guided hike begins on the 10th of October and lasts for 7 days. Leon's guided hike begins on the 3rd of October and lasts for 1 day. Steve's guided hike begins on the 12th of September and lasts for 3 days. The person whose hike ends first is,days,2019-09-12,the 12th of September,2019-09-15,3 days,3 days,3,September,Steve
Jack,2019-10-21,8 months,Rose,2019-09-08,4 weeks,John,2019-09-12,2 months,"Jack is enrolling in a professional training program on the 21st of October, which runs for about 8 months. Rose is enrolling in a professional training program on the 8th of September, which runs for about 4 weeks. John is enrolling in a professional training program on the 12th of September, which runs for about 2 months. The person whose training program ends first is",months,2019-09-08,the 8th of September,2019-10-06,28 days,4 weeks,28,September,Rose
Alex,2019-09-21,30 days,Rachel,2019-09-25,30 days,William,2019-10-21,4 weeks,Alex leaves for a retreat on the 21st of September and will be away for 30 days. Rachel leaves for a retreat on the 25th of September and will be away for 30 days. William leaves for a retreat on the 21st of October and will be away for 4 weeks. The person whose retreat ends first is,weeks,2019-09-21,the 21st of September,2019-10-21,30 days,30 days,30,September,Alex
Jack,2019-10-21,8 months,Peter,2019-09-06,4 weeks,Andrew,2019-09-23,6 months,"Jack is commencing a postdoctoral fellowship on the 21st of October, scheduled to span 8 months. Peter is commencing a postdoctoral fellowship on the 6th of September, scheduled to span 4 weeks. Andrew is commencing a postdoctoral fellowship on the 23rd of September, scheduled to span 6 months. The person whose fellowship ends first is",months,2019-09-06,the 6th of September,2019-10-04,28 days,4 weeks,28,September,Peter
Max,2019-10-22,2 days,Rose,2019-10-13,9 days,Emily,2019-10-11,5 days,Max's intensive course starts on the 22nd of October and lasts for 2 days. Rose's intensive course starts on the 13th of October and lasts for 9 days. Emily's intensive course starts on the 11th of October and lasts for 5 days. The person whose intensive course ends first is,days,2019-10-11,the 11th of October,2019-10-16,5 days,5 days,5,October,Emily
Laura,2019-10-23,3 days,Ryan,2019-10-27,3 days,Brandon,2019-09-23,1 day,Laura is going on a road trip starting on the 23rd of October and will be traveling for 3 days. Ryan is going on a road trip starting on the 27th of October and will be traveling for 3 days. Brandon is going on a road trip starting on the 23rd of September and will be traveling for 1 day. The person whose road trip ends first is,days,2019-09-23,the 23rd of September,2019-09-24,1 days,1 day,1,September,Brandon
William,2019-10-04,2 months,Joy,2019-10-26,10 weeks,Jack,2019-10-21,8 months,William is moving abroad on the 4th of October and intends to stay for 2 months. Joy is moving abroad on the 26th of October and intends to stay for 10 weeks. Jack is moving abroad on the 21st of October and intends to stay for 8 months. The person whose relocation ends first is,months,2019-10-04,the 4th of October,2019-12-03,60 days,2 months,60,October,William
William,2019-10-21,4 weeks,Dallas,2019-09-17,3 weeks,Maria,2019-09-24,10 days,"William is beginning a short course on the 21st of October, running over 4 weeks. Dallas is beginning a short course on the 17th of September, running over 3 weeks. Maria is beginning a short course on the 24th of September, running over 10 days. The person whose course ends first is",weeks,2019-09-24,the 24th of September,2019-10-04,10 days,10 days,10,September,Maria
Mark,2019-10-13,3 weeks,Max,2019-10-31,4 weeks,Joy,2019-10-02,21 days,Mark is starting a volunteer program on the 13th of October and will be active for 3 weeks. Max is starting a volunteer program on the 31st of October and will be active for 4 weeks. Joy is starting a volunteer program on the 2nd of October and will be active for 21 days. The person whose volunteer program ends first is,weeks,2019-10-02,the 2nd of October,2019-10-23,21 days,21 days,21,October,Joy
