name_1,date_1,name_2,date_2,name_3,date_3,alternatives,context,correct_date,correct_date_str,correct_season,correct_season_label,correct_og_season,correct_og_season_label,correct_answer
Dean,2019-11-03,Neil,2019-04-05,William,2019-02-07,"['Dean', 'Neil', 'William']",The following events take place in the southern hemisphere. Dean cleaned the garage on the 3rd of November. Neil cleaned the garage on the 5th of April. William cleaned the garage on the 7th of February. The only person that cleaned the garage in spring is,2019-11-03,3rd of November,spring,1,fall,3,Dean
Rachel,2019-09-10,Brandon,2019-06-25,William,2019-10-07,"['Rachel', 'Brandon', 'William']",The following events take place in the southern hemisphere. Rachel went to the museum on the 10th of September. Brandon went to the museum on the 25th of June. William went to the museum on the 7th of October. The only person that went to the museum in spring is,2019-10-07,7th of October,spring,1,fall,3,William
Michael,2019-10-11,Kevin,2019-05-27,John,2019-08-15,"['Michael', 'Kevin', 'John']",The following events take place in the southern hemisphere. Michael passed an exam on the 11th of October. Kevin passed an exam on the 27th of May. John passed an exam on the 15th of August. The only person that passed an exam in spring is,2019-10-11,11th of October,spring,1,fall,3,Michael
Peter,2019-11-06,Laura,2019-12-05,Grant,2019-08-27,"['Peter', 'Laura', 'Grant']",The following events take place in the southern hemisphere. Peter went to an Indian restaurant on the 6th of November. Laura went to an Indian restaurant on the 5th of December. Grant went to an Indian restaurant on the 27th of August. The only person that went to an Indian restaurant in winter is,2019-08-27,27th of August,winter,0,summer,2,Grant
George,2019-05-20,Neil,2019-08-18,Maria,2019-03-07,"['George', 'Neil', 'Maria']",The following events take place in the southern hemisphere. George watched a movie on the 20th of May. Neil watched a movie on the 18th of August. Maria watched a movie on the 7th of March. The only person that watched a movie in fall is,2019-05-20,20th of May,fall,3,spring,1,George
Hunter,2019-01-05,Brandon,2019-02-23,Michael,2019-04-02,"['Hunter', 'Brandon', 'Michael']",The following events take place in the southern hemisphere. Hunter harvested a garden on the 5th of January. Brandon harvested a garden on the 23rd of February. Michael harvested a garden on the 2nd of April. The only person that harvested a garden in fall is,2019-04-02,2nd of April,fall,3,spring,1,Michael
Scott,2019-04-21,Hope,2019-05-16,Jack,2019-02-24,"['Scott', 'Hope', 'Jack']",The following events take place in the southern hemisphere. Scott washed the dog on the 21st of April. Hope washed the dog on the 16th of May. Jack washed the dog on the 24th of February. The only person that washed the dog in summer is,2019-02-24,24th of February,summer,2,winter,0,Jack
Jason,2019-07-11,Bob,2019-10-01,Steve,2019-10-19,"['Jason', 'Bob', 'Steve']",The following events take place in the southern hemisphere. Jason arrived in Spain on the 11th of July. Bob arrived in Spain on the 1st of October. Steve arrived in Spain on the 19th of October. The only person that arrived in Spain in winter is,2019-07-11,11th of July,winter,0,summer,2,Jason
William,2019-06-02,Kyle,2019-06-17,Connor,2019-01-15,"['William', 'Kyle', 'Connor']",The following events take place in the southern hemisphere. William left for vacation on the 2nd of June. Kyle left for vacation on the 17th of June. Connor left for vacation on the 15th of January. The only person that left for vacation in summer is,2019-01-15,15th of January,summer,2,winter,0,Connor
Alex,2019-08-22,Grant,2019-08-19,Michael,2019-04-19,"['Alex', 'Grant', 'Michael']",The following events take place in the southern hemisphere. Alex won a prize on the 22nd of August. Grant won a prize on the 19th of August. Michael won a prize on the 19th of April. The only person that won a prize in fall is,2019-04-19,19th of April,fall,3,spring,1,Michael
Blake,2019-12-28,Mark,2019-03-25,Michael,2019-03-19,"['Blake', 'Mark', 'Michael']",The following events take place in the southern hemisphere. Blake sent a postcard on the 28th of December. Mark sent a postcard on the 25th of March. Michael sent a postcard on the 19th of March. The only person that sent a postcard in fall is,2019-03-25,25th of March,fall,3,spring,1,Mark
Aaron,2019-02-13,Hunter,2019-07-14,Kevin,2019-08-13,"['Aaron', 'Hunter', 'Kevin']",The following events take place in the southern hemisphere. Aaron got a haircut on the 13th of February. Hunter got a haircut on the 14th of July. Kevin got a haircut on the 13th of August. The only person that got a haircut in summer is,2019-02-13,13th of February,summer,2,winter,0,Aaron
Rachel,2019-10-02,Jason,2019-02-28,Maria,2019-04-07,"['Rachel', 'Jason', 'Maria']",The following events take place in the southern hemisphere. Rachel took a train on the 2nd of October. Jason took a train on the 28th of February. Maria took a train on the 7th of April. The only person that took a train in spring is,2019-10-02,2nd of October,spring,1,fall,3,Rachel
William,2019-09-05,Brandon,2019-03-09,Jason,2019-08-24,"['William', 'Brandon', 'Jason']",The following events take place in the southern hemisphere. William went fishing on the 5th of September. Brandon went fishing on the 9th of March. Jason went fishing on the 24th of August. The only person that went fishing in summer is,2019-03-09,9th of March,summer,2,winter,0,Brandon
Fred,2019-06-28,Scott,2019-02-08,Bob,2019-12-06,"['Fred', 'Scott', 'Bob']",The following events take place in the southern hemisphere. Fred cleaned the attic on the 28th of June. Scott cleaned the attic on the 8th of February. Bob cleaned the attic on the 6th of December. The only person that cleaned the attic in winter is,2019-06-28,28th of June,winter,0,summer,2,Fred
John,2019-12-06,Richard,2019-04-05,Maria,2019-10-26,"['John', 'Richard', 'Maria']",The following events take place in the southern hemisphere. John went to the museum on the 6th of December. Richard went to the museum on the 5th of April. Maria went to the museum on the 26th of October. The only person that went to the museum in fall is,2019-04-05,5th of April,fall,3,spring,1,Richard
Martin,2019-09-07,Scott,2019-06-25,Bob,2019-10-23,"['Martin', 'Scott', 'Bob']",The following events take place in the southern hemisphere. Martin planted a tree on the 7th of September. Scott planted a tree on the 25th of June. Bob planted a tree on the 23rd of October. The only person that planted a tree in spring is,2019-10-23,23rd of October,spring,1,fall,3,Bob
Frank,2019-09-13,Dean,2019-06-09,Alex,2019-01-17,"['Frank', 'Dean', 'Alex']",The following events take place in the southern hemisphere. Frank harvested a garden on the 13th of September. Dean harvested a garden on the 9th of June. Alex harvested a garden on the 17th of January. The only person that harvested a garden in winter is,2019-09-13,13th of September,winter,0,summer,2,Frank
Kevin,2019-03-18,Michael,2019-05-08,Frank,2019-01-30,"['Kevin', 'Michael', 'Frank']",The following events take place in the southern hemisphere. Kevin called a friend on the 18th of March. Michael called a friend on the 8th of May. Frank called a friend on the 30th of January. The only person that called a friend in fall is,2019-05-08,8th of May,fall,3,spring,1,Michael
Rose,2019-11-17,Steve,2019-06-21,Blake,2019-05-31,"['Rose', 'Steve', 'Blake']",The following events take place in the southern hemisphere. Rose cleaned the shed on the 17th of November. Steve cleaned the shed on the 21st of June. Blake cleaned the shed on the 31st of May. The only person that cleaned the shed in spring is,2019-11-17,17th of November,spring,1,fall,3,Rose
Mark,2019-01-22,Dean,2019-06-09,Steve,2019-10-19,"['Mark', 'Dean', 'Steve']",The following events take place in the southern hemisphere. Mark arrived in Italy on the 22nd of January. Dean arrived in Italy on the 9th of June. Steve arrived in Italy on the 19th of October. The only person that arrived in Italy in summer is,2019-01-22,22nd of January,summer,2,winter,0,Mark
Ryan,2019-02-28,Ian,2019-01-26,Jason,2019-10-03,"['Ryan', 'Ian', 'Jason']",The following events take place in the southern hemisphere. Ryan left for vacation on the 28th of February. Ian left for vacation on the 26th of January. Jason left for vacation on the 3rd of October. The only person that left for vacation in spring is,2019-10-03,3rd of October,spring,1,fall,3,Jason
Bob,2019-10-01,Maria,2019-06-16,Frank,2019-12-02,"['Bob', 'Maria', 'Frank']",The following events take place in the southern hemisphere. Bob painted a mural on the 1st of October. Maria painted a mural on the 16th of June. Frank painted a mural on the 2nd of December. The only person that painted a mural in fall is,2019-06-16,16th of June,fall,3,spring,1,Maria
Michael,2019-10-11,Marco,2019-11-15,Robert,2019-07-26,"['Michael', 'Marco', 'Robert']",The following events take place in the southern hemisphere. Michael compiled the spreadsheet on the 11th of October. Marco compiled the spreadsheet on the 15th of November. Robert compiled the spreadsheet on the 26th of July. The only person that compiled the spreadsheet in winter is,2019-07-26,26th of July,winter,0,summer,2,Robert
Hope,2019-02-11,Grant,2019-08-27,Max,2019-04-24,"['Hope', 'Grant', 'Max']",The following events take place in the southern hemisphere. Hope bought a new car on the 11th of February. Grant bought a new car on the 27th of August. Max bought a new car on the 24th of April. The only person that bought a new car in summer is,2019-02-11,11th of February,summer,2,winter,0,Hope
Michael,2019-01-25,Scott,2019-02-09,Steve,2019-10-11,"['Michael', 'Scott', 'Steve']",The following events take place in the southern hemisphere. Michael arrived in the UK on the 25th of January. Scott arrived in the UK on the 9th of February. Steve arrived in the UK on the 11th of October. The only person that arrived in the UK in spring is,2019-10-11,11th of October,spring,1,fall,3,Steve
Scott,2019-09-16,Maria,2019-01-12,Charlie,2019-06-06,"['Scott', 'Maria', 'Charlie']",The following events take place in the southern hemisphere. Scott threw a party on the 16th of September. Maria threw a party on the 12th of January. Charlie threw a party on the 6th of June. The only person that threw a party in winter is,2019-09-16,16th of September,winter,0,summer,2,Scott
Blake,2019-12-28,Richard,2019-12-15,Kyle,2019-09-26,"['Blake', 'Richard', 'Kyle']",The following events take place in the southern hemisphere. Blake cleaned the garage on the 28th of December. Richard cleaned the garage on the 15th of December. Kyle cleaned the garage on the 26th of September. The only person that cleaned the garage in summer is,2019-12-28,28th of December,summer,2,winter,0,Blake
Peter,2019-04-12,Kevin,2019-10-24,Alex,2019-08-22,"['Peter', 'Kevin', 'Alex']",The following events take place in the southern hemisphere. Peter cooked cheesecake on the 12th of April. Kevin cooked cheesecake on the 24th of October. Alex cooked cheesecake on the 22nd of August. The only person that cooked cheesecake in fall is,2019-04-12,12th of April,fall,3,spring,1,Peter
Martin,2019-10-28,Dean,2019-11-11,Steve,2019-03-20,"['Martin', 'Dean', 'Steve']",The following events take place in the southern hemisphere. Martin went to a Thai restaurant on the 28th of October. Dean went to a Thai restaurant on the 11th of November. Steve went to a Thai restaurant on the 20th of March. The only person that went to a Thai restaurant in summer is,2019-03-20,20th of March,summer,2,winter,0,Steve
Grant,2019-07-13,Michael,2019-04-07,Hunter,2019-02-19,"['Grant', 'Michael', 'Hunter']",The following events take place in the southern hemisphere. Grant watched a documentary on the 13th of July. Michael watched a documentary on the 7th of April. Hunter watched a documentary on the 19th of February. The only person that watched a documentary in winter is,2019-07-13,13th of July,winter,0,summer,2,Grant
Mark,2019-09-05,Josh,2019-01-26,Leon,2019-11-18,"['Mark', 'Josh', 'Leon']",The following events take place in the southern hemisphere. Mark arrived in the UK on the 5th of September. Josh arrived in the UK on the 26th of January. Leon arrived in the UK on the 18th of November. The only person that arrived in the UK in winter is,2019-09-05,5th of September,winter,0,summer,2,Mark
Ian,2019-12-22,Emily,2019-12-13,William,2019-09-05,"['Ian', 'Emily', 'William']",The following events take place in the southern hemisphere. Ian donated blood on the 22nd of December. Emily donated blood on the 13th of December. William donated blood on the 5th of September. The only person that donated blood in summer is,2019-12-22,22nd of December,summer,2,winter,0,Ian
Neil,2019-07-12,Walker,2019-08-04,William,2019-03-18,"['Neil', 'Walker', 'William']",The following events take place in the southern hemisphere. Neil took a walk in the park on the 12th of July. Walker took a walk in the park on the 4th of August. William took a walk in the park on the 18th of March. The only person that took a walk in the park in summer is,2019-03-18,18th of March,summer,2,winter,0,William
Hunter,2019-11-19,George,2019-08-23,Jason,2019-12-26,"['Hunter', 'George', 'Jason']",The following events take place in the southern hemisphere. Hunter took a plane on the 19th of November. George took a plane on the 23rd of August. Jason took a plane on the 26th of December. The only person that took a plane in spring is,2019-11-19,19th of November,spring,1,fall,3,Hunter
Charlie,2019-09-26,Jason,2019-02-28,Luke,2019-07-22,"['Charlie', 'Jason', 'Luke']",The following events take place in the southern hemisphere. Charlie went to the cinema on the 26th of September. Jason went to the cinema on the 28th of February. Luke went to the cinema on the 22nd of July. The only person that went to the cinema in spring is,2019-09-26,26th of September,spring,1,fall,3,Charlie
Scott,2019-05-29,Rachel,2019-04-03,Jason,2019-02-17,"['Scott', 'Rachel', 'Jason']",The following events take place in the southern hemisphere. Scott alphabetized the bookshelf on the 29th of May. Rachel alphabetized the bookshelf on the 3rd of April. Jason alphabetized the bookshelf on the 17th of February. The only person that alphabetized the bookshelf in summer is,2019-02-17,17th of February,summer,2,winter,0,Jason
George,2019-04-15,Luke,2019-05-20,Brandon,2019-02-23,"['George', 'Luke', 'Brandon']",The following events take place in the southern hemisphere. George took a walk in the park on the 15th of April. Luke took a walk in the park on the 20th of May. Brandon took a walk in the park on the 23rd of February. The only person that took a walk in the park in summer is,2019-02-23,23rd of February,summer,2,winter,0,Brandon
Connor,2019-10-24,Hope,2019-11-18,Robert,2019-01-09,"['Connor', 'Hope', 'Robert']",The following events take place in the southern hemisphere. Connor received a promotion on the 24th of October. Hope received a promotion on the 18th of November. Robert received a promotion on the 9th of January. The only person that received a promotion in summer is,2019-01-09,9th of January,summer,2,winter,0,Robert
Richard,2019-01-17,Rose,2019-06-30,Leon,2019-09-08,"['Richard', 'Rose', 'Leon']",The following events take place in the southern hemisphere. Richard painted a portrait on the 17th of January. Rose painted a portrait on the 30th of June. Leon painted a portrait on the 8th of September. The only person that painted a portrait in summer is,2019-01-17,17th of January,summer,2,winter,0,Richard
Maria,2019-02-26,Richard,2019-04-05,Andrew,2019-05-06,"['Maria', 'Richard', 'Andrew']",The following events take place in the southern hemisphere. Maria cooked lasagna on the 26th of February. Richard cooked lasagna on the 5th of April. Andrew cooked lasagna on the 6th of May. The only person that cooked lasagna in summer is,2019-02-26,26th of February,summer,2,winter,0,Maria
Charlie,2019-09-24,Scott,2019-09-16,Maria,2019-05-19,"['Charlie', 'Scott', 'Maria']",The following events take place in the southern hemisphere. Charlie watered the plants on the 24th of September. Scott watered the plants on the 16th of September. Maria watered the plants on the 19th of May. The only person that watered the plants in spring is,2019-09-24,24th of September,spring,1,fall,3,Charlie
Hope,2019-12-11,Marco,2019-10-27,John,2019-05-20,"['Hope', 'Marco', 'John']",The following events take place in the southern hemisphere. Hope played chess on the 11th of December. Marco played chess on the 27th of October. John played chess on the 20th of May. The only person that played chess in fall is,2019-05-20,20th of May,fall,3,spring,1,John
Walker,2019-11-16,Peter,2019-11-06,Jason,2019-04-07,"['Walker', 'Peter', 'Jason']",The following events take place in the southern hemisphere. Walker went to the museum on the 16th of November. Peter went to the museum on the 6th of November. Jason went to the museum on the 7th of April. The only person that went to the museum in fall is,2019-04-07,7th of April,fall,3,spring,1,Jason
Scott,2019-02-09,Grant,2019-06-14,Bob,2019-12-06,"['Scott', 'Grant', 'Bob']",The following events take place in the southern hemisphere. Scott painted a mural on the 9th of February. Grant painted a mural on the 14th of June. Bob painted a mural on the 6th of December. The only person that painted a mural in summer is,2019-02-09,9th of February,summer,2,winter,0,Scott
Scott,2019-06-25,Robert,2019-04-01,Jason,2019-08-08,"['Scott', 'Robert', 'Jason']",The following events take place in the southern hemisphere. Scott returned from vacation on the 25th of June. Robert returned from vacation on the 1st of April. Jason returned from vacation on the 8th of August. The only person that returned from vacation in fall is,2019-04-01,1st of April,fall,3,spring,1,Robert
Alex,2019-11-06,Marco,2019-06-16,Charlie,2019-11-29,"['Alex', 'Marco', 'Charlie']",The following events take place in the southern hemisphere. Alex got a raise on the 6th of November. Marco got a raise on the 16th of June. Charlie got a raise on the 29th of November. The only person that got a raise in fall is,2019-06-16,16th of June,fall,3,spring,1,Marco
Dallas,2019-02-11,Leon,2019-10-08,Tyler,2019-03-01,"['Dallas', 'Leon', 'Tyler']",The following events take place in the southern hemisphere. Dallas went camping on the 11th of February. Leon went camping on the 8th of October. Tyler went camping on the 1st of March. The only person that went camping in spring is,2019-10-08,8th of October,spring,1,fall,3,Leon
Hunter,2019-05-20,Tyler,2019-11-15,Alex,2019-09-25,"['Hunter', 'Tyler', 'Alex']",The following events take place in the southern hemisphere. Hunter watched a movie on the 20th of May. Tyler watched a movie on the 15th of November. Alex watched a movie on the 25th of September. The only person that watched a movie in fall is,2019-05-20,20th of May,fall,3,spring,1,Hunter
George,2019-09-12,Hope,2019-11-01,Joy,2019-11-23,"['George', 'Hope', 'Joy']",The following events take place in the southern hemisphere. George got a raise on the 12th of September. Hope got a raise on the 1st of November. Joy got a raise on the 23rd of November. The only person that got a raise in winter is,2019-09-12,12th of September,winter,0,summer,2,George
Michael,2019-12-06,Grant,2019-08-19,Mark,2019-02-08,"['Michael', 'Grant', 'Mark']",The following events take place in the southern hemisphere. Michael went to the beach on the 6th of December. Grant went to the beach on the 19th of August. Mark went to the beach on the 8th of February. The only person that went to the beach in spring is,2019-12-06,6th of December,spring,1,fall,3,Michael
Emily,2019-12-29,Rose,2019-08-20,Grant,2019-01-10,"['Emily', 'Rose', 'Grant']",The following events take place in the southern hemisphere. Emily alphabetized the bookshelf on the 29th of December. Rose alphabetized the bookshelf on the 20th of August. Grant alphabetized the bookshelf on the 10th of January. The only person that alphabetized the bookshelf in winter is,2019-08-20,20th of August,winter,0,summer,2,Rose
Brandon,2019-02-23,Tyler,2019-04-10,Grant,2019-01-03,"['Brandon', 'Tyler', 'Grant']",The following events take place in the southern hemisphere. Brandon got a haircut on the 23rd of February. Tyler got a haircut on the 10th of April. Grant got a haircut on the 3rd of January. The only person that got a haircut in fall is,2019-04-10,10th of April,fall,3,spring,1,Tyler
Laura,2019-10-10,Charlie,2019-09-24,Mark,2019-08-21,"['Laura', 'Charlie', 'Mark']",The following events take place in the southern hemisphere. Laura planted a tree on the 10th of October. Charlie planted a tree on the 24th of September. Mark planted a tree on the 21st of August. The only person that planted a tree in winter is,2019-08-21,21st of August,winter,0,summer,2,Mark
Jack,2019-07-04,Mark,2019-08-15,Robert,2019-06-17,"['Jack', 'Mark', 'Robert']",The following events take place in the southern hemisphere. Jack cleaned the attic on the 4th of July. Mark cleaned the attic on the 15th of August. Robert cleaned the attic on the 17th of June. The only person that cleaned the attic in fall is,2019-06-17,17th of June,fall,3,spring,1,Robert
Joy,2019-01-24,John,2019-04-02,Frank,2019-02-18,"['Joy', 'John', 'Frank']",The following events take place in the southern hemisphere. Joy went to the zoo on the 24th of January. John went to the zoo on the 2nd of April. Frank went to the zoo on the 18th of February. The only person that went to the zoo in fall is,2019-04-02,2nd of April,fall,3,spring,1,John
Maria,2019-10-19,Emily,2019-04-22,Marco,2019-09-07,"['Maria', 'Emily', 'Marco']",The following events take place in the southern hemisphere. Maria got a raise on the 19th of October. Emily got a raise on the 22nd of April. Marco got a raise on the 7th of September. The only person that got a raise in spring is,2019-10-19,19th of October,spring,1,fall,3,Maria
Grant,2019-08-27,Andrew,2019-10-11,Joy,2019-01-04,"['Grant', 'Andrew', 'Joy']",The following events take place in the southern hemisphere. Grant painted a portrait on the 27th of August. Andrew painted a portrait on the 11th of October. Joy painted a portrait on the 4th of January. The only person that painted a portrait in winter is,2019-08-27,27th of August,winter,0,summer,2,Grant
Hope,2019-07-19,Scott,2019-06-25,Dean,2019-03-04,"['Hope', 'Scott', 'Dean']",The following events take place in the southern hemisphere. Hope took an exam on the 19th of July. Scott took an exam on the 25th of June. Dean took an exam on the 4th of March. The only person that took an exam in summer is,2019-03-04,4th of March,summer,2,winter,0,Dean
Jason,2019-08-10,Dallas,2019-11-04,Hunter,2019-05-26,"['Jason', 'Dallas', 'Hunter']",The following events take place in the southern hemisphere. Jason arrived in Germany on the 10th of August. Dallas arrived in Germany on the 4th of November. Hunter arrived in Germany on the 26th of May. The only person that arrived in Germany in winter is,2019-08-10,10th of August,winter,0,summer,2,Jason
John,2019-04-12,Jerry,2019-01-10,Martin,2019-10-28,"['John', 'Jerry', 'Martin']",The following events take place in the southern hemisphere. John donated toys on the 12th of April. Jerry donated toys on the 10th of January. Martin donated toys on the 28th of October. The only person that donated toys in fall is,2019-04-12,12th of April,fall,3,spring,1,John
Blake,2019-06-14,Walker,2019-11-11,Andrew,2019-11-08,"['Blake', 'Walker', 'Andrew']",The following events take place in the southern hemisphere. Blake got a birthday gift on the 14th of June. Walker got a birthday gift on the 11th of November. Andrew got a birthday gift on the 8th of November. The only person that got a birthday gift in fall is,2019-06-14,14th of June,fall,3,spring,1,Blake
Fred,2019-01-12,Alice,2019-08-26,Rachel,2019-06-18,"['Fred', 'Alice', 'Rachel']",The following events take place in the southern hemisphere. Fred bought a new phone on the 12th of January. Alice bought a new phone on the 26th of August. Rachel bought a new phone on the 18th of June. The only person that bought a new phone in summer is,2019-01-12,12th of January,summer,2,winter,0,Fred
Rachel,2019-09-22,Steve,2019-04-21,William,2019-02-08,"['Rachel', 'Steve', 'William']",The following events take place in the southern hemisphere. Rachel passed an exam on the 22nd of September. Steve passed an exam on the 21st of April. William passed an exam on the 8th of February. The only person that passed an exam in winter is,2019-09-22,22nd of September,winter,0,summer,2,Rachel
Robert,2019-04-30,Michael,2019-09-18,Martin,2019-10-28,"['Robert', 'Michael', 'Martin']",The following events take place in the southern hemisphere. Robert had a barbecue on the 30th of April. Michael had a barbecue on the 18th of September. Martin had a barbecue on the 28th of October. The only person that had a barbecue in fall is,2019-04-30,30th of April,fall,3,spring,1,Robert
Fred,2019-07-24,Michael,2019-12-06,Robert,2019-07-26,"['Fred', 'Michael', 'Robert']",The following events take place in the southern hemisphere. Fred bought a new car on the 24th of July. Michael bought a new car on the 6th of December. Robert bought a new car on the 26th of July. The only person that bought a new car in spring is,2019-12-06,6th of December,spring,1,fall,3,Michael
Tyler,2019-11-24,Steve,2019-03-20,Martin,2019-08-09,"['Tyler', 'Steve', 'Martin']",The following events take place in the southern hemisphere. Tyler took a plane on the 24th of November. Steve took a plane on the 20th of March. Martin took a plane on the 9th of August. The only person that took a plane in spring is,2019-11-24,24th of November,spring,1,fall,3,Tyler
Luke,2019-12-10,Brandon,2019-02-23,Neil,2019-04-15,"['Luke', 'Brandon', 'Neil']",The following events take place in the southern hemisphere. Luke cleaned the garage on the 10th of December. Brandon cleaned the garage on the 23rd of February. Neil cleaned the garage on the 15th of April. The only person that cleaned the garage in spring is,2019-12-10,10th of December,spring,1,fall,3,Luke
Blake,2019-02-06,George,2019-02-09,Robert,2019-04-01,"['Blake', 'George', 'Robert']",The following events take place in the southern hemisphere. Blake cooked cheesecake on the 6th of February. George cooked cheesecake on the 9th of February. Robert cooked cheesecake on the 1st of April. The only person that cooked cheesecake in fall is,2019-04-01,1st of April,fall,3,spring,1,Robert
Jason,2019-04-07,Mark,2019-02-08,Charlie,2019-08-27,"['Jason', 'Mark', 'Charlie']",The following events take place in the southern hemisphere. Jason ran a marathon on the 7th of April. Mark ran a marathon on the 8th of February. Charlie ran a marathon on the 27th of August. The only person that ran a marathon in fall is,2019-04-07,7th of April,fall,3,spring,1,Jason
Alice,2019-01-29,John,2019-05-20,Bob,2019-05-17,"['Alice', 'John', 'Bob']",The following events take place in the southern hemisphere. Alice won a contest on the 29th of January. John won a contest on the 20th of May. Bob won a contest on the 17th of May. The only person that won a contest in summer is,2019-01-29,29th of January,summer,2,winter,0,Alice
Bob,2019-10-12,Ryan,2019-07-31,Walker,2019-03-23,"['Bob', 'Ryan', 'Walker']",The following events take place in the southern hemisphere. Bob ran a marathon on the 12th of October. Ryan ran a marathon on the 31st of July. Walker ran a marathon on the 23rd of March. The only person that ran a marathon in spring is,2019-10-12,12th of October,spring,1,fall,3,Bob
Blake,2019-01-26,John,2019-05-08,Frank,2019-09-13,"['Blake', 'John', 'Frank']",The following events take place in the southern hemisphere. Blake went to an Indian restaurant on the 26th of January. John went to an Indian restaurant on the 8th of May. Frank went to an Indian restaurant on the 13th of September. The only person that went to an Indian restaurant in summer is,2019-01-26,26th of January,summer,2,winter,0,Blake
Ian,2019-11-17,Jason,2019-07-01,Kevin,2019-05-27,"['Ian', 'Jason', 'Kevin']",The following events take place in the southern hemisphere. Ian donated toys on the 17th of November. Jason donated toys on the 1st of July. Kevin donated toys on the 27th of May. The only person that donated toys in spring is,2019-11-17,17th of November,spring,1,fall,3,Ian
Brandon,2019-12-08,Maria,2019-01-11,April,2019-09-24,"['Brandon', 'Maria', 'April']",The following events take place in the southern hemisphere. Brandon returned from vacation on the 8th of December. Maria returned from vacation on the 11th of January. April returned from vacation on the 24th of September. The only person that returned from vacation in summer is,2019-01-11,11th of January,summer,2,winter,0,Maria
Aaron,2019-03-04,Scott,2019-02-09,Rose,2019-11-18,"['Aaron', 'Scott', 'Rose']",The following events take place in the southern hemisphere. Aaron got a raise on the 4th of March. Scott got a raise on the 9th of February. Rose got a raise on the 18th of November. The only person that got a raise in spring is,2019-11-18,18th of November,spring,1,fall,3,Rose
Neil,2019-03-17,Robert,2019-09-29,Bob,2019-05-17,"['Neil', 'Robert', 'Bob']",The following events take place in the southern hemisphere. Neil arrived in the US on the 17th of March. Robert arrived in the US on the 29th of September. Bob arrived in the US on the 17th of May. The only person that arrived in the US in summer is,2019-03-17,17th of March,summer,2,winter,0,Neil
Fred,2019-08-01,Josh,2019-01-29,Jerry,2019-09-14,"['Fred', 'Josh', 'Jerry']",The following events take place in the southern hemisphere. Fred watched a documentary on the 1st of August. Josh watched a documentary on the 29th of January. Jerry watched a documentary on the 14th of September. The only person that watched a documentary in summer is,2019-01-29,29th of January,summer,2,winter,0,Josh
Walker,2019-01-26,John,2019-06-24,Laura,2019-03-09,"['Walker', 'John', 'Laura']",The following events take place in the southern hemisphere. Walker ran a marathon on the 26th of January. John ran a marathon on the 24th of June. Laura ran a marathon on the 9th of March. The only person that ran a marathon in winter is,2019-06-24,24th of June,winter,0,summer,2,John
Jerry,2019-07-04,Jason,2019-08-24,William,2019-10-14,"['Jerry', 'Jason', 'William']",The following events take place in the southern hemisphere. Jerry took a boat on the 4th of July. Jason took a boat on the 24th of August. William took a boat on the 14th of October. The only person that took a boat in spring is,2019-10-14,14th of October,spring,1,fall,3,William
Jason,2019-01-31,Grant,2019-04-19,Emily,2019-05-12,"['Jason', 'Grant', 'Emily']",The following events take place in the southern hemisphere. Jason went to a concert on the 31st of January. Grant went to a concert on the 19th of April. Emily went to a concert on the 12th of May. The only person that went to a concert in summer is,2019-01-31,31st of January,summer,2,winter,0,Jason
Connor,2019-11-08,Bob,2019-05-08,Rachel,2019-04-19,"['Connor', 'Bob', 'Rachel']",The following events take place in the southern hemisphere. Connor arrived in the UK on the 8th of November. Bob arrived in the UK on the 8th of May. Rachel arrived in the UK on the 19th of April. The only person that arrived in the UK in spring is,2019-11-08,8th of November,spring,1,fall,3,Connor
Tyler,2019-02-27,Martin,2019-12-25,Robert,2019-07-09,"['Tyler', 'Martin', 'Robert']",The following events take place in the southern hemisphere. Tyler played chess on the 27th of February. Martin played chess on the 25th of December. Robert played chess on the 9th of July. The only person that played chess in winter is,2019-07-09,9th of July,winter,0,summer,2,Robert
Richard,2019-03-09,Maria,2019-06-28,Max,2019-06-29,"['Richard', 'Maria', 'Max']",The following events take place in the southern hemisphere. Richard took a plane on the 9th of March. Maria took a plane on the 28th of June. Max took a plane on the 29th of June. The only person that took a plane in summer is,2019-03-09,9th of March,summer,2,winter,0,Richard
Michael,2019-01-08,Ryan,2019-08-26,Andrew,2019-12-22,"['Michael', 'Ryan', 'Andrew']",The following events take place in the southern hemisphere. Michael watched a movie on the 8th of January. Ryan watched a movie on the 26th of August. Andrew watched a movie on the 22nd of December. The only person that watched a movie in winter is,2019-08-26,26th of August,winter,0,summer,2,Ryan
William,2019-06-19,Emily,2019-05-06,Tyler,2019-03-02,"['William', 'Emily', 'Tyler']",The following events take place in the southern hemisphere. William arrived in Germany on the 19th of June. Emily arrived in Germany on the 6th of May. Tyler arrived in Germany on the 2nd of March. The only person that arrived in Germany in summer is,2019-03-02,2nd of March,summer,2,winter,0,Tyler
Jason,2019-07-09,Ian,2019-03-15,Emily,2019-05-06,"['Jason', 'Ian', 'Emily']",The following events take place in the southern hemisphere. Jason renovated the kitchen on the 9th of July. Ian renovated the kitchen on the 15th of March. Emily renovated the kitchen on the 6th of May. The only person that renovated the kitchen in winter is,2019-07-09,9th of July,winter,0,summer,2,Jason
