name_1,date_1,name_2,date_2,name_3,date_3,alternatives,context,correct_date,correct_date_str,correct_season,correct_season_label,correct_answer
Grant,2019-03-01,Dallas,2019-07-13,Martin,2019-10-04,"['Grant', 'Dallas', 'Martin']",Grant went to a Mexican restaurant on the 1st of March. Dallas went to a Mexican restaurant on the 13th of July. Martin went to a Mexican restaurant on the 4th of October. The only person that went to a Mexican restaurant in winter is,2019-03-01,1st of March,winter,0,Grant
William,2019-12-27,Maria,2019-06-13,Leon,2019-03-31,"['William', 'Maria', 'Leon']",William washed the floors on the 27th of December. Maria washed the floors on the 13th of June. Leon washed the floors on the 31st of March. The only person that washed the floors in winter is,2019-12-27,27th of December,winter,0,William
Charlie,2019-10-15,Robert,2019-01-18,Alice,2019-06-05,"['Charlie', 'Robert', 'Alice']",Charlie donated toys on the 15th of October. Robert donated toys on the 18th of January. Alice donated toys on the 5th of June. The only person that donated toys in fall is,2019-10-15,15th of October,fall,3,Charlie
Leon,2019-02-04,Ryan,2019-05-24,Rachel,2019-04-13,"['Leon', 'Ryan', 'Rachel']",Leon had a barbecue on the 4th of February. Ryan had a barbecue on the 24th of May. Rachel had a barbecue on the 13th of April. The only person that had a barbecue in winter is,2019-02-04,4th of February,winter,0,Leon
Bob,2019-12-11,Henry,2019-03-11,Jason,2019-11-14,"['Bob', 'Henry', 'Jason']",Bob visited their family on the 11th of December. Henry visited their family on the 11th of March. Jason visited their family on the 14th of November. The only person that visited their family in winter is,2019-03-11,11th of March,winter,0,Henry
William,2019-02-08,Kyle,2019-08-22,Alex,2019-09-07,"['William', 'Kyle', 'Alex']",William passed an exam on the 8th of February. Kyle passed an exam on the 22nd of August. Alex passed an exam on the 7th of September. The only person that passed an exam in winter is,2019-02-08,8th of February,winter,0,William
Hope,2019-04-21,Leon,2019-10-16,Michael,2019-02-14,"['Hope', 'Leon', 'Michael']",Hope took a walk in the park on the 21st of April. Leon took a walk in the park on the 16th of October. Michael took a walk in the park on the 14th of February. The only person that took a walk in the park in spring is,2019-04-21,21st of April,spring,1,Hope
Emily,2019-09-10,Martin,2019-07-27,John,2019-04-23,"['Emily', 'Martin', 'John']",Emily went to the cinema on the 10th of September. Martin went to the cinema on the 27th of July. John went to the cinema on the 23rd of April. The only person that went to the cinema in spring is,2019-04-23,23rd of April,spring,1,John
Ryan,2019-03-07,April,2019-07-21,Fred,2019-12-11,"['Ryan', 'April', 'Fred']",Ryan ran a marathon on the 7th of March. April ran a marathon on the 21st of July. Fred ran a marathon on the 11th of December. The only person that ran a marathon in winter is,2019-03-07,7th of March,winter,0,Ryan
Matt,2019-12-21,William,2019-08-24,Charlie,2019-02-06,"['Matt', 'William', 'Charlie']",Matt bought a new car on the 21st of December. William bought a new car on the 24th of August. Charlie bought a new car on the 6th of February. The only person that bought a new car in summer is,2019-08-24,24th of August,summer,2,William
Peter,2019-12-24,Emily,2019-01-26,Rose,2019-05-05,"['Peter', 'Emily', 'Rose']",Peter went hiking on the 24th of December. Emily went hiking on the 26th of January. Rose went hiking on the 5th of May. The only person that went hiking in spring is,2019-05-05,5th of May,spring,1,Rose
Rachel,2019-07-14,John,2019-05-11,Alice,2019-11-12,"['Rachel', 'John', 'Alice']",Rachel baked a cake on the 14th of July. John baked a cake on the 11th of May. Alice baked a cake on the 12th of November. The only person that baked a cake in summer is,2019-07-14,14th of July,summer,2,Rachel
Joy,2019-04-25,Dean,2019-09-17,Grant,2019-06-28,"['Joy', 'Dean', 'Grant']",Joy played chess on the 25th of April. Dean played chess on the 17th of September. Grant played chess on the 28th of June. The only person that played chess in spring is,2019-04-25,25th of April,spring,1,Joy
Marco,2019-11-19,George,2019-11-05,Fred,2019-06-15,"['Marco', 'George', 'Fred']",Marco renovated the kitchen on the 19th of November. George renovated the kitchen on the 5th of November. Fred renovated the kitchen on the 15th of June. The only person that renovated the kitchen in spring is,2019-06-15,15th of June,spring,1,Fred
Richard,2019-05-02,Neil,2019-04-23,Andrew,2019-10-09,"['Richard', 'Neil', 'Andrew']",Richard went camping on the 2nd of May. Neil went camping on the 23rd of April. Andrew went camping on the 9th of October. The only person that went camping in fall is,2019-10-09,9th of October,fall,3,Andrew
Robert,2019-10-22,Frank,2019-03-08,Max,2019-11-06,"['Robert', 'Frank', 'Max']",Robert returned from vacation on the 22nd of October. Frank returned from vacation on the 8th of March. Max returned from vacation on the 6th of November. The only person that returned from vacation in winter is,2019-03-08,8th of March,winter,0,Frank
Tyler,2019-06-09,Hunter,2019-11-06,Andrew,2019-03-11,"['Tyler', 'Hunter', 'Andrew']",Tyler went to the museum on the 9th of June. Hunter went to the museum on the 6th of November. Andrew went to the museum on the 11th of March. The only person that went to the museum in spring is,2019-06-09,9th of June,spring,1,Tyler
Kyle,2019-12-27,Emily,2019-05-31,Matt,2019-10-06,"['Kyle', 'Emily', 'Matt']",Kyle took a bus on the 27th of December. Emily took a bus on the 31st of May. Matt took a bus on the 6th of October. The only person that took a bus in winter is,2019-12-27,27th of December,winter,0,Kyle
Blake,2019-06-08,Hope,2019-03-04,Luke,2019-12-16,"['Blake', 'Hope', 'Luke']",Blake took a train on the 8th of June. Hope took a train on the 4th of March. Luke took a train on the 16th of December. The only person that took a train in spring is,2019-06-08,8th of June,spring,1,Blake
Jerry,2019-01-03,John,2019-10-09,Jack,2019-12-28,"['Jerry', 'John', 'Jack']",Jerry cleaned the windows on the 3rd of January. John cleaned the windows on the 9th of October. Jack cleaned the windows on the 28th of December. The only person that cleaned the windows in fall is,2019-10-09,9th of October,fall,3,John
Kyle,2019-07-05,Scott,2019-04-18,Dean,2019-11-01,"['Kyle', 'Scott', 'Dean']",Kyle passed an exam on the 5th of July. Scott passed an exam on the 18th of April. Dean passed an exam on the 1st of November. The only person that passed an exam in summer is,2019-07-05,5th of July,summer,2,Kyle
Jerry,2019-02-01,Jack,2019-06-22,Maria,2019-06-11,"['Jerry', 'Jack', 'Maria']",Jerry moved to a new city on the 1st of February. Jack moved to a new city on the 22nd of June. Maria moved to a new city on the 11th of June. The only person that moved to a new city in winter is,2019-02-01,1st of February,winter,0,Jerry
Andrew,2019-09-29,Jack,2019-01-13,Blake,2019-08-14,"['Andrew', 'Jack', 'Blake']",Andrew took a taxi on the 29th of September. Jack took a taxi on the 13th of January. Blake took a taxi on the 14th of August. The only person that took a taxi in fall is,2019-09-29,29th of September,fall,3,Andrew
Connor,2019-06-28,Kyle,2019-06-25,Charlie,2019-06-10,"['Connor', 'Kyle', 'Charlie']",Connor watched TV on the 28th of June. Kyle watched TV on the 25th of June. Charlie watched TV on the 10th of June. The only person that watched TV in spring is,2019-06-10,10th of June,spring,1,Charlie
Jack,2019-03-11,Charlie,2019-03-24,Tyler,2019-04-23,"['Jack', 'Charlie', 'Tyler']",Jack washed the floors on the 11th of March. Charlie washed the floors on the 24th of March. Tyler washed the floors on the 23rd of April. The only person that washed the floors in winter is,2019-03-11,11th of March,winter,0,Jack
Henry,2019-01-04,Jack,2019-12-08,Joy,2019-11-11,"['Henry', 'Jack', 'Joy']",Henry went hiking on the 4th of January. Jack went hiking on the 8th of December. Joy went hiking on the 11th of November. The only person that went hiking in winter is,2019-01-04,4th of January,winter,0,Henry
Brandon,2019-05-28,Jason,2019-07-12,Josh,2019-11-24,"['Brandon', 'Jason', 'Josh']",Brandon filled out the application on the 28th of May. Jason filled out the application on the 12th of July. Josh filled out the application on the 24th of November. The only person that filled out the application in spring is,2019-05-28,28th of May,spring,1,Brandon
Dean,2019-02-09,Rachel,2019-07-14,Tyler,2019-12-23,"['Dean', 'Rachel', 'Tyler']",Dean got a raise on the 9th of February. Rachel got a raise on the 14th of July. Tyler got a raise on the 23rd of December. The only person that got a raise in summer is,2019-07-14,14th of July,summer,2,Rachel
Robert,2019-01-17,Scott,2019-10-05,Martin,2019-07-02,"['Robert', 'Scott', 'Martin']",Robert went to a Thai restaurant on the 17th of January. Scott went to a Thai restaurant on the 5th of October. Martin went to a Thai restaurant on the 2nd of July. The only person that went to a Thai restaurant in winter is,2019-01-17,17th of January,winter,0,Robert
Laura,2019-03-01,Kyle,2019-08-22,Michael,2019-11-20,"['Laura', 'Kyle', 'Michael']",Laura passed an exam on the 1st of March. Kyle passed an exam on the 22nd of August. Michael passed an exam on the 20th of November. The only person that passed an exam in winter is,2019-03-01,1st of March,winter,0,Laura
Robert,2019-10-08,John,2019-09-26,Brandon,2019-09-06,"['Robert', 'John', 'Brandon']",Robert ironed the clothes on the 8th of October. John ironed the clothes on the 26th of September. Brandon ironed the clothes on the 6th of September. The only person that ironed the clothes in summer is,2019-09-06,6th of September,summer,2,Brandon
Jerry,2019-09-04,Ian,2019-08-03,Rose,2019-02-04,"['Jerry', 'Ian', 'Rose']",Jerry renovated the bathroom on the 4th of September. Ian renovated the bathroom on the 3rd of August. Rose renovated the bathroom on the 4th of February. The only person that renovated the bathroom in winter is,2019-02-04,4th of February,winter,0,Rose
Jerry,2019-06-11,Henry,2019-03-29,Laura,2019-12-09,"['Jerry', 'Henry', 'Laura']",Jerry donated toys on the 11th of June. Henry donated toys on the 29th of March. Laura donated toys on the 9th of December. The only person that donated toys in fall is,2019-12-09,9th of December,fall,3,Laura
Maria,2019-11-28,Connor,2019-04-05,April,2019-04-04,"['Maria', 'Connor', 'April']",Maria won the lottery on the 28th of November. Connor won the lottery on the 5th of April. April won the lottery on the 4th of April. The only person that won the lottery in fall is,2019-11-28,28th of November,fall,3,Maria
Jerry,2019-06-05,Kyle,2019-04-09,Josh,2019-06-21,"['Jerry', 'Kyle', 'Josh']",Jerry watched a movie on the 5th of June. Kyle watched a movie on the 9th of April. Josh watched a movie on the 21st of June. The only person that watched a movie in summer is,2019-06-21,21st of June,summer,2,Josh
Robert,2019-12-04,John,2019-06-04,Hunter,2019-11-23,"['Robert', 'John', 'Hunter']",Robert filled out the application on the 4th of December. John filled out the application on the 4th of June. Hunter filled out the application on the 23rd of November. The only person that filled out the application in spring is,2019-06-04,4th of June,spring,1,John
Scott,2019-07-15,Maria,2019-04-13,Aaron,2019-05-13,"['Scott', 'Maria', 'Aaron']",Scott cleaned the shed on the 15th of July. Maria cleaned the shed on the 13th of April. Aaron cleaned the shed on the 13th of May. The only person that cleaned the shed in summer is,2019-07-15,15th of July,summer,2,Scott
Richard,2019-04-08,Michael,2019-06-28,George,2019-12-24,"['Richard', 'Michael', 'George']",Richard went camping on the 8th of April. Michael went camping on the 28th of June. George went camping on the 24th of December. The only person that went camping in spring is,2019-04-08,8th of April,spring,1,Richard
Robert,2019-06-28,Michael,2019-05-22,William,2019-11-11,"['Robert', 'Michael', 'William']",Robert left for vacation on the 28th of June. Michael left for vacation on the 22nd of May. William left for vacation on the 11th of November. The only person that left for vacation in summer is,2019-06-28,28th of June,summer,2,Robert
George,2019-12-16,Frank,2019-11-27,Neil,2019-03-08,"['George', 'Frank', 'Neil']",George cleaned the windows on the 16th of December. Frank cleaned the windows on the 27th of November. Neil cleaned the windows on the 8th of March. The only person that cleaned the windows in winter is,2019-03-08,8th of March,winter,0,Neil
Max,2019-03-02,Alice,2019-06-05,Henry,2019-03-11,"['Max', 'Alice', 'Henry']",Max won the lottery on the 2nd of March. Alice won the lottery on the 5th of June. Henry won the lottery on the 11th of March. The only person that won the lottery in spring is,2019-06-05,5th of June,spring,1,Alice
Grant,2019-05-09,Marco,2019-05-26,Jerry,2019-07-15,"['Grant', 'Marco', 'Jerry']",Grant went to an Indian restaurant on the 9th of May. Marco went to an Indian restaurant on the 26th of May. Jerry went to an Indian restaurant on the 15th of July. The only person that went to an Indian restaurant in summer is,2019-07-15,15th of July,summer,2,Jerry
Scott,2019-11-15,Grant,2019-03-01,Rachel,2019-07-23,"['Scott', 'Grant', 'Rachel']",Scott won the lottery on the 15th of November. Grant won the lottery on the 1st of March. Rachel won the lottery on the 23rd of July. The only person that won the lottery in fall is,2019-11-15,15th of November,fall,3,Scott
Marco,2019-03-26,Walker,2019-05-05,George,2019-10-28,"['Marco', 'Walker', 'George']",Marco went to an Indian restaurant on the 26th of March. Walker went to an Indian restaurant on the 5th of May. George went to an Indian restaurant on the 28th of October. The only person that went to an Indian restaurant in fall is,2019-10-28,28th of October,fall,3,George
Neil,2019-05-27,Fred,2019-11-28,Peter,2019-05-11,"['Neil', 'Fred', 'Peter']",Neil went to an Indian restaurant on the 27th of May. Fred went to an Indian restaurant on the 28th of November. Peter went to an Indian restaurant on the 11th of May. The only person that went to an Indian restaurant in fall is,2019-11-28,28th of November,fall,3,Fred
Walker,2019-08-13,Jack,2019-05-12,Matt,2019-01-05,"['Walker', 'Jack', 'Matt']",Walker participated in a triathlon on the 13th of August. Jack participated in a triathlon on the 12th of May. Matt participated in a triathlon on the 5th of January. The only person that participated in a triathlon in summer is,2019-08-13,13th of August,summer,2,Walker
Emily,2019-02-20,John,2019-10-02,Rose,2019-12-23,"['Emily', 'John', 'Rose']",Emily went to the zoo on the 20th of February. John went to the zoo on the 2nd of October. Rose went to the zoo on the 23rd of December. The only person that went to the zoo in fall is,2019-10-02,2nd of October,fall,3,John
Fred,2019-04-16,Grant,2019-03-01,Dean,2019-02-06,"['Fred', 'Grant', 'Dean']",Fred received a letter on the 16th of April. Grant received a letter on the 1st of March. Dean received a letter on the 6th of February. The only person that received a letter in spring is,2019-04-16,16th of April,spring,1,Fred
Jason,2019-06-05,Frank,2019-11-28,Henry,2019-12-01,"['Jason', 'Frank', 'Henry']",Jason watched TV on the 5th of June. Frank watched TV on the 28th of November. Henry watched TV on the 1st of December. The only person that watched TV in spring is,2019-06-05,5th of June,spring,1,Jason
Bob,2019-05-21,William,2019-09-22,Hope,2019-04-21,"['Bob', 'William', 'Hope']",Bob went fishing on the 21st of May. William went fishing on the 22nd of September. Hope went fishing on the 21st of April. The only person that went fishing in summer is,2019-09-22,22nd of September,summer,2,William
Jerry,2019-09-21,Joy,2019-07-31,Dean,2019-06-12,"['Jerry', 'Joy', 'Dean']",Jerry watched TV on the 21st of September. Joy watched TV on the 31st of July. Dean watched TV on the 12th of June. The only person that watched TV in spring is,2019-06-12,12th of June,spring,1,Dean
Maria,2019-08-17,Tyler,2019-06-09,Neil,2019-01-11,"['Maria', 'Tyler', 'Neil']",Maria got surgery on the 17th of August. Tyler got surgery on the 9th of June. Neil got surgery on the 11th of January. The only person that got surgery in summer is,2019-08-17,17th of August,summer,2,Maria
Ryan,2019-12-29,Peter,2019-09-07,Robert,2019-02-01,"['Ryan', 'Peter', 'Robert']",Ryan had a barbecue on the 29th of December. Peter had a barbecue on the 7th of September. Robert had a barbecue on the 1st of February. The only person that had a barbecue in summer is,2019-09-07,7th of September,summer,2,Peter
Robert,2019-06-30,Hope,2019-04-21,Jack,2019-11-25,"['Robert', 'Hope', 'Jack']",Robert arrived in the US on the 30th of June. Hope arrived in the US on the 21st of April. Jack arrived in the US on the 25th of November. The only person that arrived in the US in summer is,2019-06-30,30th of June,summer,2,Robert
Charlie,2019-08-12,Brandon,2019-08-30,Laura,2019-01-31,"['Charlie', 'Brandon', 'Laura']",Charlie cleaned the windows on the 12th of August. Brandon cleaned the windows on the 30th of August. Laura cleaned the windows on the 31st of January. The only person that cleaned the windows in winter is,2019-01-31,31st of January,winter,0,Laura
Rachel,2019-02-01,Brandon,2019-05-30,Matt,2019-04-07,"['Rachel', 'Brandon', 'Matt']",Rachel visited their family on the 1st of February. Brandon visited their family on the 30th of May. Matt visited their family on the 7th of April. The only person that visited their family in winter is,2019-02-01,1st of February,winter,0,Rachel
Max,2019-09-17,Dean,2019-06-23,Neil,2019-03-28,"['Max', 'Dean', 'Neil']",Max cooked cheesecake on the 17th of September. Dean cooked cheesecake on the 23rd of June. Neil cooked cheesecake on the 28th of March. The only person that cooked cheesecake in spring is,2019-03-28,28th of March,spring,1,Neil
Jerry,2019-12-06,Kyle,2019-08-03,Fred,2019-09-28,"['Jerry', 'Kyle', 'Fred']",Jerry got a manicure on the 6th of December. Kyle got a manicure on the 3rd of August. Fred got a manicure on the 28th of September. The only person that got a manicure in summer is,2019-08-03,3rd of August,summer,2,Kyle
Matt,2019-05-23,Marco,2019-09-30,Scott,2019-12-30,"['Matt', 'Marco', 'Scott']",Matt went to the gym on the 23rd of May. Marco went to the gym on the 30th of September. Scott went to the gym on the 30th of December. The only person that went to the gym in spring is,2019-05-23,23rd of May,spring,1,Matt
Frank,2019-03-08,Grant,2019-08-31,Dean,2019-01-06,"['Frank', 'Grant', 'Dean']",Frank got a haircut on the 8th of March. Grant got a haircut on the 31st of August. Dean got a haircut on the 6th of January. The only person that got a haircut in summer is,2019-08-31,31st of August,summer,2,Grant
Bob,2019-06-14,Neil,2019-08-01,Rachel,2019-10-20,"['Bob', 'Neil', 'Rachel']",Bob built a desktop computer on the 14th of June. Neil built a desktop computer on the 1st of August. Rachel built a desktop computer on the 20th of October. The only person that built a desktop computer in spring is,2019-06-14,14th of June,spring,1,Bob
Rachel,2019-01-23,John,2019-08-22,Dallas,2019-01-10,"['Rachel', 'John', 'Dallas']",Rachel got a haircut on the 23rd of January. John got a haircut on the 22nd of August. Dallas got a haircut on the 10th of January. The only person that got a haircut in summer is,2019-08-22,22nd of August,summer,2,John
Leon,2019-02-27,Grant,2019-06-28,Andrew,2019-07-25,"['Leon', 'Grant', 'Andrew']",Leon went to the museum on the 27th of February. Grant went to the museum on the 28th of June. Andrew went to the museum on the 25th of July. The only person that went to the museum in winter is,2019-02-27,27th of February,winter,0,Leon
Brandon,2019-05-30,Joy,2019-05-25,Charlie,2019-01-28,"['Brandon', 'Joy', 'Charlie']",Brandon wrote a letter on the 30th of May. Joy wrote a letter on the 25th of May. Charlie wrote a letter on the 28th of January. The only person that wrote a letter in winter is,2019-01-28,28th of January,winter,0,Charlie
Joy,2019-12-25,Fred,2019-11-28,William,2019-02-28,"['Joy', 'Fred', 'William']",Joy visited their family on the 25th of December. Fred visited their family on the 28th of November. William visited their family on the 28th of February. The only person that visited their family in fall is,2019-11-28,28th of November,fall,3,Fred
George,2019-05-19,Robert,2019-03-08,Marco,2019-08-26,"['George', 'Robert', 'Marco']",George donated toys on the 19th of May. Robert donated toys on the 8th of March. Marco donated toys on the 26th of August. The only person that donated toys in spring is,2019-05-19,19th of May,spring,1,George
Ryan,2019-08-30,Robert,2019-09-20,Bob,2019-12-09,"['Ryan', 'Robert', 'Bob']",Ryan got a manicure on the 30th of August. Robert got a manicure on the 20th of September. Bob got a manicure on the 9th of December. The only person that got a manicure in fall is,2019-12-09,9th of December,fall,3,Bob
Alex,2019-02-04,Walker,2019-06-27,William,2019-11-25,"['Alex', 'Walker', 'William']",Alex ironed the clothes on the 4th of February. Walker ironed the clothes on the 27th of June. William ironed the clothes on the 25th of November. The only person that ironed the clothes in winter is,2019-02-04,4th of February,winter,0,Alex
Ian,2019-08-26,Kyle,2019-01-31,Neil,2019-09-17,"['Ian', 'Kyle', 'Neil']",Ian went to the gym on the 26th of August. Kyle went to the gym on the 31st of January. Neil went to the gym on the 17th of September. The only person that went to the gym in winter is,2019-01-31,31st of January,winter,0,Kyle
Luke,2019-04-29,Henry,2019-06-25,Blake,2019-01-28,"['Luke', 'Henry', 'Blake']",Luke took a taxi on the 29th of April. Henry took a taxi on the 25th of June. Blake took a taxi on the 28th of January. The only person that took a taxi in spring is,2019-04-29,29th of April,spring,1,Luke
Walker,2019-11-11,Leon,2019-03-26,Bob,2019-04-13,"['Walker', 'Leon', 'Bob']",Walker moved to a new city on the 11th of November. Leon moved to a new city on the 26th of March. Bob moved to a new city on the 13th of April. The only person that moved to a new city in fall is,2019-11-11,11th of November,fall,3,Walker
William,2019-02-10,Emily,2019-12-11,Henry,2019-01-12,"['William', 'Emily', 'Henry']",William arrived in Canada on the 10th of February. Emily arrived in Canada on the 11th of December. Henry arrived in Canada on the 12th of January. The only person that arrived in Canada in fall is,2019-12-11,11th of December,fall,3,Emily
Andrew,2019-09-09,Walker,2019-08-13,Kyle,2019-01-31,"['Andrew', 'Walker', 'Kyle']",Andrew donated clothes on the 9th of September. Walker donated clothes on the 13th of August. Kyle donated clothes on the 31st of January. The only person that donated clothes in winter is,2019-01-31,31st of January,winter,0,Kyle
Jason,2019-03-25,Mark,2019-03-01,Dean,2019-06-12,"['Jason', 'Mark', 'Dean']",Jason watched a movie on the 25th of March. Mark watched a movie on the 1st of March. Dean watched a movie on the 12th of June. The only person that watched a movie in winter is,2019-03-01,1st of March,winter,0,Mark
Bob,2019-09-05,George,2019-05-19,Charlie,2019-02-20,"['Bob', 'George', 'Charlie']",Bob visited a new city on the 5th of September. George visited a new city on the 19th of May. Charlie visited a new city on the 20th of February. The only person that visited a new city in summer is,2019-09-05,5th of September,summer,2,Bob
Emily,2019-10-09,Alice,2019-10-28,Maria,2019-05-06,"['Emily', 'Alice', 'Maria']",Emily got a birthday gift on the 9th of October. Alice got a birthday gift on the 28th of October. Maria got a birthday gift on the 6th of May. The only person that got a birthday gift in spring is,2019-05-06,6th of May,spring,1,Maria
Rachel,2019-07-14,William,2019-08-30,Jason,2019-09-24,"['Rachel', 'William', 'Jason']",Rachel received a letter on the 14th of July. William received a letter on the 30th of August. Jason received a letter on the 24th of September. The only person that received a letter in fall is,2019-09-24,24th of September,fall,3,Jason
Alice,2019-02-10,Mark,2019-07-22,Dean,2019-03-08,"['Alice', 'Mark', 'Dean']",Alice went to the beach on the 10th of February. Mark went to the beach on the 22nd of July. Dean went to the beach on the 8th of March. The only person that went to the beach in summer is,2019-07-22,22nd of July,summer,2,Mark
Andrew,2019-09-11,Frank,2019-06-12,Hunter,2019-04-02,"['Andrew', 'Frank', 'Hunter']",Andrew won a prize on the 11th of September. Frank won a prize on the 12th of June. Hunter won a prize on the 2nd of April. The only person that won a prize in summer is,2019-09-11,11th of September,summer,2,Andrew
Neil,2019-02-02,Connor,2019-03-29,Jason,2019-08-02,"['Neil', 'Connor', 'Jason']",Neil got a massage on the 2nd of February. Connor got a massage on the 29th of March. Jason got a massage on the 2nd of August. The only person that got a massage in winter is,2019-02-02,2nd of February,winter,0,Neil
Neil,2019-04-23,Bob,2019-02-06,Leon,2019-10-14,"['Neil', 'Bob', 'Leon']",Neil moved to a new city on the 23rd of April. Bob moved to a new city on the 6th of February. Leon moved to a new city on the 14th of October. The only person that moved to a new city in spring is,2019-04-23,23rd of April,spring,1,Neil
Ryan,2019-07-19,Marco,2019-09-18,Luke,2019-04-29,"['Ryan', 'Marco', 'Luke']",Ryan got a manicure on the 19th of July. Marco got a manicure on the 18th of September. Luke got a manicure on the 29th of April. The only person that got a manicure in spring is,2019-04-29,29th of April,spring,1,Luke
Jack,2019-12-11,Dean,2019-04-14,Henry,2019-01-12,"['Jack', 'Dean', 'Henry']",Jack went camping on the 11th of December. Dean went camping on the 14th of April. Henry went camping on the 12th of January. The only person that went camping in fall is,2019-12-11,11th of December,fall,3,Jack
Peter,2019-08-07,Fred,2019-12-27,Rose,2019-12-23,"['Peter', 'Fred', 'Rose']",Peter sent a postcard on the 7th of August. Fred sent a postcard on the 27th of December. Rose sent a postcard on the 23rd of December. The only person that sent a postcard in summer is,2019-08-07,7th of August,summer,2,Peter
Andrew,2019-09-11,George,2019-01-29,Josh,2019-09-27,"['Andrew', 'George', 'Josh']",Andrew painted a portrait on the 11th of September. George painted a portrait on the 29th of January. Josh painted a portrait on the 27th of September. The only person that painted a portrait in summer is,2019-09-11,11th of September,summer,2,Andrew
Joy,2019-08-27,Connor,2019-02-19,Michael,2019-06-24,"['Joy', 'Connor', 'Michael']",Joy donated blood on the 27th of August. Connor donated blood on the 19th of February. Michael donated blood on the 24th of June. The only person that donated blood in winter is,2019-02-19,19th of February,winter,0,Connor
Alice,2019-02-10,Leon,2019-03-31,Josh,2019-09-27,"['Alice', 'Leon', 'Josh']",Alice watched a documentary on the 10th of February. Leon watched a documentary on the 31st of March. Josh watched a documentary on the 27th of September. The only person that watched a documentary in winter is,2019-02-10,10th of February,winter,0,Alice
Max,2019-02-18,Robert,2019-12-04,Leon,2019-03-26,"['Max', 'Robert', 'Leon']",Max renovated the kitchen on the 18th of February. Robert renovated the kitchen on the 4th of December. Leon renovated the kitchen on the 26th of March. The only person that renovated the kitchen in winter is,2019-02-18,18th of February,winter,0,Max
Jack,2019-01-06,Alex,2019-07-23,Marco,2019-07-29,"['Jack', 'Alex', 'Marco']",Jack built a desktop computer on the 6th of January. Alex built a desktop computer on the 23rd of July. Marco built a desktop computer on the 29th of July. The only person that built a desktop computer in winter is,2019-01-06,6th of January,winter,0,Jack
Brandon,2019-04-05,George,2019-08-10,Michael,2019-03-12,"['Brandon', 'George', 'Michael']",Brandon repotted the plants on the 5th of April. George repotted the plants on the 10th of August. Michael repotted the plants on the 12th of March. The only person that repotted the plants in spring is,2019-04-05,5th of April,spring,1,Brandon
Rachel,2019-10-17,Kyle,2019-08-03,Charlie,2019-11-19,"['Rachel', 'Kyle', 'Charlie']",Rachel got a haircut on the 17th of October. Kyle got a haircut on the 3rd of August. Charlie got a haircut on the 19th of November. The only person that got a haircut in summer is,2019-08-03,3rd of August,summer,2,Kyle
Rachel,2019-09-03,Andrew,2019-09-29,Matt,2019-03-15,"['Rachel', 'Andrew', 'Matt']",Rachel cooked cheesecake on the 3rd of September. Andrew cooked cheesecake on the 29th of September. Matt cooked cheesecake on the 15th of March. The only person that cooked cheesecake in summer is,2019-09-03,3rd of September,summer,2,Rachel
Emily,2019-04-19,Hope,2019-08-08,Brandon,2019-07-31,"['Emily', 'Hope', 'Brandon']",Emily played beer pong on the 19th of April. Hope played beer pong on the 8th of August. Brandon played beer pong on the 31st of July. The only person that played beer pong in spring is,2019-04-19,19th of April,spring,1,Emily
Joy,2019-08-11,Mark,2019-12-28,Blake,2019-11-07,"['Joy', 'Mark', 'Blake']",Joy played chess on the 11th of August. Mark played chess on the 28th of December. Blake played chess on the 7th of November. The only person that played chess in summer is,2019-08-11,11th of August,summer,2,Joy
Rachel,2019-03-15,John,2019-04-23,Tyler,2019-01-04,"['Rachel', 'John', 'Tyler']",Rachel visited a new country on the 15th of March. John visited a new country on the 23rd of April. Tyler visited a new country on the 4th of January. The only person that visited a new country in spring is,2019-04-23,23rd of April,spring,1,John
Joy,2019-08-11,Martin,2019-07-27,Blake,2019-01-17,"['Joy', 'Martin', 'Blake']",Joy went fishing on the 11th of August. Martin went fishing on the 27th of July. Blake went fishing on the 17th of January. The only person that went fishing in winter is,2019-01-17,17th of January,winter,0,Blake
Dean,2019-02-06,Bob,2019-09-16,Laura,2019-11-08,"['Dean', 'Bob', 'Laura']",Dean took a bus on the 6th of February. Bob took a bus on the 16th of September. Laura took a bus on the 8th of November. The only person that took a bus in winter is,2019-02-06,6th of February,winter,0,Dean
Tyler,2019-05-17,Mark,2019-08-16,Robert,2019-12-19,"['Tyler', 'Mark', 'Robert']",Tyler ironed the clothes on the 17th of May. Mark ironed the clothes on the 16th of August. Robert ironed the clothes on the 19th of December. The only person that ironed the clothes in spring is,2019-05-17,17th of May,spring,1,Tyler
Laura,2019-03-05,Dean,2019-04-14,Andrew,2019-09-09,"['Laura', 'Dean', 'Andrew']",Laura sold their car on the 5th of March. Dean sold their car on the 14th of April. Andrew sold their car on the 9th of September. The only person that sold their car in winter is,2019-03-05,5th of March,winter,0,Laura
Brandon,2019-07-05,Peter,2019-09-07,Steve,2019-03-04,"['Brandon', 'Peter', 'Steve']",Brandon arrived in the US on the 5th of July. Peter arrived in the US on the 7th of September. Steve arrived in the US on the 4th of March. The only person that arrived in the US in winter is,2019-03-04,4th of March,winter,0,Steve
Walker,2019-07-02,Robert,2019-06-05,Alice,2019-09-20,"['Walker', 'Robert', 'Alice']",Walker painted a portrait on the 2nd of July. Robert painted a portrait on the 5th of June. Alice painted a portrait on the 20th of September. The only person that painted a portrait in spring is,2019-06-05,5th of June,spring,1,Robert
